country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
TN,p0p1,2023,710.7,0,.0004,0,0,.01
TN,p10p11,2023,2617.7,1452.2,.0016,.0009,.1,.11
TN,p11p12,2023,2827.7,1716.2,.0017,.0011,.11,.12
TN,p12p13,2023,3044.4,1980.2,.0019,.0012,.12,.13
TN,p13p14,2023,3267.1,2244.3,.002,.0014,.13,.14
TN,p14p15,2023,3494.1,2508.3,.0022,.0015,.14,.15
TN,p15p16,2023,3721.4,2772.3,.0023,.0017,.15,.16
TN,p16p17,2023,3944.1,3036.4,.0024,.0019,.16,.17
TN,p17p18,2023,4153.6,3300.4,.0026,.002,.17,.18
TN,p18p19,2023,4340.6,3564.4,.0027,.0022,.18,.19
TN,p19p20,2023,4491.8,3828.5,.0028,.0024,.19,.2
TN,p1p2,2023,853.2,0,.0005,0,.01,.02
TN,p20p21,2023,4593.7,3960.5,.0028,.0024,.2,.21
TN,p21p22,2023,4630.2,3997.6,.0029,.0025,.21,.22
TN,p22p23,2023,4640.8,4008.8,.0029,.0025,.22,.23
TN,p23p24,2023,4648.900000000001,4017.2,.0029,.0025,.23,.24
TN,p24p25,2023,4672.7,4041.1,.0029,.0025,.24,.25
TN,p25p26,2023,4728.7,4097.1,.0029,.0025,.25,.26
TN,p26p27,2023,4832.8,4196.2,.003,.0026,.26,.27
TN,p27p28,2023,4987.5,4345.6,.0031,.0027,.27,.28
TN,p28p29,2023,5192.400000000001,4545,.0032,.0028,.28,.29
TN,p29p30,2023,5441.6,4788.2,.0034,.003,.29,.3
TN,p2p3,2023,1007,0,.0006,0,.02,.03
TN,p30p31,2023,5794,5134.1,.0036,.0032,.3,.31
TN,p31p32,2023,6222.8,5557.5,.0038,.0034,.31,.32
TN,p32p33,2023,6405.1,5734,.0039,.0035,.32,.33
TN,p33p34,2023,6435.3,5758.200000000001,.004,.0036,.33,.34
TN,p34p35,2023,6466.1,5782.8,.004,.0036,.34,.35
TN,p35p36,2023,6496.6,5806.6,.004,.0036,.35,.36
TN,p36p37,2023,6520.200000000001,5830.900000000001,.004,.0036,.36,.37
TN,p37p38,2023,6544.5,5855.6,.004,.0036,.37,.38
TN,p38p39,2023,6568.700000000001,5880.3,.004,.0036,.38,.39
TN,p39p40,2023,6593.400000000001,5905.1,.0041,.0036,.39,.4
TN,p3p4,2023,1170.6,0,.0007,0,.03,.04
TN,p40p41,2023,6694.200000000001,6006.3,.0041,.0037,.4,.41
TN,p41p42,2023,6950.5,6266.900000000001,.0043,.0039,.41,.42
