country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
TO,p0p1,2023,1104.3,0,.0005,0,0,.01
TO,p10p11,2023,3357.5,2040.7,.0015,.0009,.1,.11
TO,p11p12,2023,3619.7,2411.6,.0016,.0011,.11,.12
TO,p12p13,2023,3889.1,2782.7,.0017,.0012,.12,.13
TO,p13p14,2023,4165.5,3153.8,.0018,.0014,.13,.14
TO,p14p15,2023,4448.8,3524.8,.0019,.0015,.14,.15
TO,p15p16,2023,4739.3,3895.9,.0021,.0017,.15,.16
TO,p16p17,2023,5032.700000000001,4266.900000000001,.0022,.0019,.16,.17
TO,p17p18,2023,5333.1,4637.8,.0023,.002,.17,.18
TO,p18p19,2023,5640.3,5009,.0025,.0022,.18,.19
TO,p19p20,2023,5954.6,5379.900000000001,.0026,.0023,.19,.2
TO,p1p2,2023,1281.9,0,.0006,0,.01,.02
TO,p20p21,2023,6275.5,5565.5,.0027,.0024,.2,.21
TO,p21p22,2023,6590.1,5898.6,.0029,.0026,.21,.22
TO,p22p23,2023,6909.3,6236.1,.003,.0027,.22,.23
TO,p23p24,2023,7233.3,6578.400000000001,.0032,.0029,.23,.24
TO,p24p25,2023,7561.700000000001,6924.6,.0033,.003,.24,.25
TO,p25p26,2023,7894.1,7274.700000000001,.0034,.0032,.25,.26
TO,p26p27,2023,8234.800000000001,7628.6,.0036,.0033,.26,.27
TO,p27p28,2023,8579.4,7985.700000000001,.0037,.0035,.27,.28
TO,p28p29,2023,8927,8345.800000000001,.0039,.0036,.28,.29
TO,p29p30,2023,9277.9,8708.5,.004,.0038,.29,.3
TO,p2p3,2023,1468.5,0,.0006,0,.02,.03
TO,p30p31,2023,9631.1,9073.200000000001,.0042,.004,.3,.31
TO,p31p32,2023,9987.700000000001,9440,.0044,.0041,.31,.32
TO,p32p33,2023,10346,9808,.0045,.0043,.32,.33
TO,p33p34,2023,10705,10176.9,.0047,.0044,.33,.34
TO,p34p35,2023,11064.6,10546.3,.0048,.0046,.34,.35
TO,p35p36,2023,11424.4,10915.7,.005,.0048,.35,.36
TO,p36p37,2023,11782.3,11284.6,.0051,.0049,.36,.37
TO,p37p38,2023,12139.6,11652.2,.0053,.0051,.37,.38
TO,p38p39,2023,12495.4,12018.3,.0054,.0052,.38,.39
TO,p39p40,2023,12849.1,12382.1,.0056,.0054,.39,.4
TO,p3p4,2023,1665.2,0,.0007,0,.03,.04
TO,p40p41,2023,13200.2,12743.4,.0058,.0056,.4,.41
TO,p41p42,2023,13544.5,13100.9,.0059,.0057,.41,.42
TO,p42p43,2023,13884.7,13454.5,.0061,.0059,.42,.43
TO,p43p44,2023,14220.2,13803.7,.0062,.006,.43,.44
TO,p44p45,2023,14550.8,14147.5,.0063,.0062,.44,.45
TO,p45p46,2023,14875.7,14485.6,.0065,.0063,.45,.46
TO,p46p47,2023,15193,14817.2,.0066,.0065,.46,.47
TO,p47p48,2023,15503.8,15141.8,.0068,.0066,.47,.48
TO,p48p49,2023,15807.1,15459,.0069,.0067,.48,.49
TO,p49p50,2023,16102.8,15768.2,.007,.0069,.49,.5
TO,p4p5,2023,1872.9,0,.0008,0,.04,.05
TO,p50p51,2023,16390.3,16068.7,.0071,.007,.5,.51
TO,p51p52,2023,16667,16360.9,.0073,.0071,.51,.52
TO,p52p53,2023,16934.9,16643.6,.0074,.0073,.52,.53
TO,p53p54,2023,17193.5,16917.2,.0075,.0074,.53,.54
TO,p54p55,2023,17442.9,17180.9,.0076,.0075,.54,.55
TO,p55p56,2023,17682.2,17434.7,.0077,.0076,.55,.5600000000000001
TO,p56p57,2023,17912.5,17678.3,.0078,.0077,.5600000000000001,.57
TO,p57p58,2023,18132.8,17911.1,.0079,.0078,.57,.58
TO,p58p59,2023,18342.4,18133.5,.008,.0079,.58,.59
TO,p59p60,2023,18541.5,18344.6,.0081,.008,.59,.6
TO,p5p6,2023,2091.6,185.6,.0009,.0001,.05,.06
TO,p60p61,2023,18729.9,18544.9,.0082,.0081,.6,.61
TO,p61p62,2023,18905.4,18733.8,.0082,.0082,.61,.62
TO,p62p63,2023,19069.9,18911.5,.0083,.0082,.62,.63
TO,p63p64,2023,19223.8,19078,.0084,.0083,.63,.64
TO,p64p65,2023,19366.6,19233.4,.0084,.0084,.64,.65
TO,p65p66,2023,19499.2,19377.8,.0085,.0084,.65,.66
TO,p66p67,2023,19623.1,19511.5,.0086,.0085,.66,.67
TO,p67p68,2023,19737.4,19635.3,.0086,.0086,.67,.68
TO,p68p69,2023,19842.8,19749.5,.0086,.0086,.68,.6899999999999999
TO,p69p70,2023,19939.9,19855.1,.0087,.0087,.6899999999999999,.7
TO,p6p7,2023,2321,556.4,.001,.0002,.06,.07
TO,p70p71,2023,20029.9,19953.3,.0087,.0087,.7,.71
TO,p71p72,2023,20116.1,20045.7,.0088,.0087,.71,.72
TO,p72p73,2023,20198.5,20134.2,.0088,.0088,.72,.73
TO,p73p74,2023,20280.2,20221.5,.0088,.0088,.73,.74
TO,p74p75,2023,20363.6,20310.7,.0089,.0089,.74,.75
TO,p75p76,2023,20453.5,20405.9,.0089,.0089,.75,.76
TO,p76p77,2023,20550.8,20512.6,.009,.0089,.76,.77
TO,p77p78,2023,20665.9,20637.5,.009,.009,.77,.78
TO,p78p79,2023,20807.1,20789,.0091,.0091,.78,.79
TO,p79p80,2023,20984.9,20978.5,.0091,.0091,.79,.8
TO,p7p8,2023,2562,927.7,.0011,.0004,.07,.08
TO,p80p81,2023,21212.7,21220.2,.0092,.0092,.8,.8100000000000001
TO,p81p82,2023,21508.4,21532.5,.0094,.0094,.8100000000000001,.82
TO,p82p83,2023,21895.1,21939.2,.0095,.0096,.82,.83
TO,p83p84,2023,22402.8,22472,.0098,.0098,.83,.84
TO,p84p85,2023,23071,23171.4,.0101,.0101,.84,.85
TO,p85p86,2023,23951.6,24091.5,.0104,.0105,.85,.86
TO,p86p87,2023,25120.7,25303.9,.0109,.011,.86,.87
TO,p87p88,2023,26661.4,26903.2,.0116,.0117,.87,.88
TO,p88p89,2023,28694.5,29014.8,.0125,.0126,.88,.89
TO,p89p90,2023,31379.6,31805.4,.0137,.0139,.89,.9
TO,p8p9,2023,2814.6,1298.6,.0012,.0006,.08,.09
TO,p90p91,2023,34924.8,35491.9,.0152,.0155,.9,.91
TO,p91p92,2023,39588.7,40361.9,.0173,.0176,.91,.92
TO,p92p93,2023,45766.9,46813.60000000001,.0199,.0204,.92,.93
TO,p93p94,2023,54000,55413.2,.0235,.0241,.93,.9399999999999999
TO,p94p95,2023,65071.9,66979.90000000001,.0284,.0292,.9399999999999999,.95
TO,p95p96,2023,80138.70000000001,82723.20000000001,.0349,.036,.95,.96
TO,p96p97,2023,100737,104461.9,.0439,.0455,.96,.97
TO,p97p98,2023,129604.4,134964.3,.0565,.0588,.97,.98
TO,p98p99,2023,170832.9,178583.6,.0744,.0778,.98,.99
TO,p99.1p99.2,2023,207099.3,217155.7,.009,.0095,.991,.992
TO,p99.2p99.3,2023,214713.1,225179.8,.0094,.0098,.992,.993
TO,p99.3p99.4,2023,223753.4,234706.2,.0098,.0102,.993,.9940000000000001
TO,p99.4p99.5,2023,235272.1,246843.6,.0103,.0108,.9940000000000001,.995
TO,p99.5p99.6,2023,251349.6,263783.4,.011,.0115,.995,.996
TO,p99.6p99.7,2023,276541.5,290324,.0121,.0127,.996,.997
TO,p99.7p99.8,2023,322347.2,338579.2,.014,.0148,.997,.998
TO,p99.8p99.9,2023,422971.4,444580.5,.0184,.0194,.998,.9990000000000001
TO,p99.9p100,2023,1159966.4,1220947.7,.0505,.0532,.9990000000000001,1
TO,p99p99.1,2023,200336.4,210028.9,.0087,.0092,.99,.991
TO,p9p10,2023,3079.8,1669.6,.0013,.0007,.09,.1
