country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
TR,p0p1,2023,42702.5,0,.0007,0,0,.01
TR,p10p11,2023,122004.8,51453.2,.0021,.0009,.1,.11
TR,p11p12,2023,131473.4,60808.3,.0023,.001,.11,.12
TR,p12p13,2023,138281.3,70163.40000000001,.0024,.0012,.12,.13
TR,p13p14,2023,141692.2,79518.5,.0024,.0014,.13,.14
TR,p14p15,2023,144571.7,88873.70000000001,.0025,.0015,.14,.15
TR,p15p16,2023,145919.4,98228.8,.0025,.0017,.15,.16
TR,p16p17,2023,147103.9,107583.9,.0025,.0018,.16,.17
TR,p17p18,2023,148163.3,116939,.0025,.002,.17,.18
TR,p18p19,2023,149208.8,126294.1,.0026,.0022,.18,.19
TR,p19p20,2023,150254.3,135649.3,.0026,.0023,.19,.2
TR,p1p2,2023,57256.3,0,.001,0,.01,.02
TR,p20p21,2023,151977.1,140326.8,.0026,.0024,.2,.21
TR,p21p22,2023,155533.9,144239.2,.0027,.0025,.21,.22
TR,p22p23,2023,161289.4,150627.7,.0028,.0026,.22,.23
TR,p23p24,2023,168350.9,158442.5,.0029,.0027,.23,.24
TR,p24p25,2023,175690.3,166526.8,.003,.0029,.24,.25
TR,p25p26,2023,182644.2,174116.2,.0031,.003,.25,.26
TR,p26p27,2023,188493.4,180493.6,.0032,.0031,.26,.27
TR,p27p28,2023,193074.9,185391.6,.0033,.0032,.27,.28
TR,p28p29,2023,196256.6,188697.5,.0034,.0032,.28,.29
TR,p29p30,2023,198469.2,190894.2,.0034,.0033,.29,.3
TR,p2p3,2023,71761.40000000001,0,.0012,0,.02,.03
TR,p30p31,2023,200313.6,192663,.0034,.0033,.3,.31
TR,p31p32,2023,202248.3,194567.2,.0035,.0033,.31,.32
TR,p32p33,2023,204332.3,196627.6,.0035,.0034,.32,.33
TR,p33p34,2023,206527.6,198803.5,.0035,.0034,.33,.34
TR,p34p35,2023,208910.3,201176,.0036,.0035,.34,.35
TR,p35p36,2023,211355.6,203608.3,.0036,.0035,.35,.36
TR,p36p37,2023,214092.7,206266.4,.0037,.0035,.36,.37
TR,p37p38,2023,217086.8,209199.3,.0037,.0036,.37,.38
TR,p38p39,2023,220365.8,212425.5,.0038,.0036,.38,.39
TR,p39p40,2023,224023.3,216056.5,.0038,.0037,.39,.4
TR,p3p4,2023,82414.40000000001,0,.0014,0,.03,.04
TR,p40p41,2023,228236.6,220280.2,.0039,.0038,.4,.41
TR,p41p42,2023,232835.4,225060,.004,.0039,.41,.42
TR,p42p43,2023,237778.1,230216.8,.0041,.004,.42,.43
TR,p43p44,2023,243009.1,235673.3,.0042,.004,.43,.44
TR,p44p45,2023,248347.8,241254,.0043,.0041,.44,.45
TR,p45p46,2023,253731.7,246876.7,.0044,.0042,.45,.46
TR,p46p47,2023,258934.9,252398,.0044,.0043,.46,.47
TR,p47p48,2023,263950.5,257721.5,.0045,.0044,.47,.48
TR,p48p49,2023,268782.1,262853.5,.0046,.0045,.48,.49
TR,p49p50,2023,273391.4,267753.2,.0047,.0046,.49,.5
TR,p4p5,2023,89107.8,0,.0015,0,.04,.05
TR,p50p51,2023,277889.5,272544.6,.0048,.0047,.5,.51
TR,p51p52,2023,282380.6,277289.6,.0048,.0048,.51,.52
TR,p52p53,2023,286837.1,282003,.0049,.0048,.52,.53
TR,p53p54,2023,291297,286718.1,.005,.0049,.53,.54
TR,p54p55,2023,295850.7,291531.6,.0051,.005,.54,.55
TR,p55p56,2023,300564.1,296502.6,.0052,.0051,.55,.5600000000000001
TR,p56p57,2023,305499.9,301651.3,.0052,.0052,.5600000000000001,.57
TR,p57p58,2023,310640.6,306999.8,.0053,.0053,.57,.58
TR,p58p59,2023,316059.2,312635.7,.0054,.0054,.58,.59
TR,p59p60,2023,321755.6,318549.1,.0055,.0055,.59,.6
TR,p5p6,2023,95884.40000000001,4677.6,.0016,.0001,.05,.06
TR,p60p61,2023,327761.2,324774.7,.0056,.0056,.6,.61
TR,p61p62,2023,334048.1,331331.2,.0057,.0057,.61,.62
TR,p62p63,2023,340599.1,338150.6,.0058,.0058,.62,.63
TR,p63p64,2023,347396.6,345226.5,.006,.0059,.63,.64
TR,p64p65,2023,354430.3,352543.7,.0061,.006,.64,.65
TR,p65p66,2023,361717.6,360129.6,.0062,.0062,.65,.66
TR,p66p67,2023,369199.4,367908.2,.0063,.0063,.66,.67
TR,p67p68,2023,376868.8,375879.8,.0065,.0065,.67,.68
TR,p68p69,2023,384743.1,384067.9,.0066,.0066,.68,.6899999999999999
TR,p69p70,2023,392804.9,392443.4,.0067,.0067,.6899999999999999,.7
TR,p6p7,2023,102101.9,14032.7,.0018,.0002,.06,.07
TR,p70p71,2023,401016.2,400973.6,.0069,.0069,.7,.71
TR,p71p72,2023,409553.9,409762.9,.007,.007,.71,.72
TR,p72p73,2023,418362.5,418837.4,.0072,.0072,.72,.73
TR,p73p74,2023,427494.2,428247,.0073,.0073,.73,.74
TR,p74p75,2023,437001,438052.5,.0075,.0075,.74,.75
TR,p75p76,2023,446976.8,448366.8,.0077,.0077,.75,.76
TR,p76p77,2023,457459.6,459254.9,.0079,.0079,.76,.77
TR,p77p78,2023,468494.8,470748.4,.008,.0081,.77,.78
TR,p78p79,2023,480078.7,482858,.0082,.0083,.78,.79
TR,p79p80,2023,492253.1,495628.2,.0084,.0085,.79,.8
TR,p7p8,2023,106860.5,23387.8,.0018,.0004,.07,.08
TR,p80p81,2023,509054.2,513342.9,.0087,.0088,.8,.8100000000000001
TR,p81p82,2023,530936.9,536320.1,.0091,.0092,.8100000000000001,.82
TR,p82p83,2023,558314.6,565162,.0096,.0097,.82,.83
TR,p83p84,2023,591878.5,600602.6,.0102,.0103,.83,.84
TR,p84p85,2023,632503.9,643571.6000000001,.0109,.011,.84,.85
TR,p85p86,2023,681149.5,695099.3,.0117,.0119,.85,.86
TR,p86p87,2023,738756.6000000001,756195,.0127,.013,.86,.87
TR,p87p88,2023,806895.1000000001,828537.2000000001,.0138,.0142,.87,.88
TR,p88p89,2023,887173.4,913827.9,.0152,.0157,.88,.89
TR,p89p90,2023,981713.6000000001,1014344.2,.0168,.0174,.89,.9
TR,p8p9,2023,111011.3,32742.9,.0019,.0006,.08,.09
TR,p90p91,2023,1087393.2,1126797.5,.0187,.0193,.9,.91
TR,p91p92,2023,1207918.2,1253376.9,.0207,.0215,.91,.92
TR,p92p93,2023,1347816.4,1400233,.0231,.024,.92,.93
TR,p93p94,2023,1514456.7,1575075.3,.026,.027,.93,.9399999999999999
TR,p94p95,2023,1719681.7,1790294.9,.0295,.0307,.9399999999999999,.95
TR,p95p96,2023,1984205.4,2067587.9,.034,.0355,.95,.96
TR,p96p97,2023,2350593,2446216.2,.0403,.042,.96,.97
TR,p97p98,2023,2908551.6,3023029,.0499,.0519,.97,.98
TR,p98p99,2023,3956489,4107648.7,.0679,.0705,.98,.99
TR,p99.1p99.2,2023,7429168.9,7724264.100000001,.0127,.0133,.991,.992
TR,p99.2p99.3,2023,7893169,8225273.800000001,.0135,.0141,.992,.993
TR,p99.3p99.4,2023,8464229.4,8840912,.0145,.0152,.993,.9940000000000001
TR,p99.4p99.5,2023,9191160.6,9618124.5,.0158,.0165,.9940000000000001,.995
TR,p99.5p99.6,2023,10146453.5,10639625.5,.0174,.0183,.995,.996
TR,p99.6p99.7,2023,11483582.1,12062497.1,.0197,.0207,.996,.997
TR,p99.7p99.8,2023,13608175.4,14305254.8,.0234,.0245,.997,.998
TR,p99.8p99.9,2023,17761859.8,18667437.7,.0305,.032,.998,.9990000000000001
TR,p99.9p100,2023,42767979.5,45032135.7,.0734,.0773,.9990000000000001,1
TR,p99p99.1,2023,7046126,7306179.7,.0121,.0125,.99,.991
TR,p9p10,2023,115217.6,42098.10000000001,.002,.0007,.09,.1
