country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
TT,p0p1,2023,16260.6,3.3,.0012,0,0,.01
TT,p10p11,2023,18067.3,2407.9,.0013,.0002,.1,.11
TT,p11p12,2023,18146.3,3288.4,.0013,.0002,.11,.12
TT,p12p13,2023,18464.8,3966,.0013,.0003,.12,.13
TT,p13p14,2023,18750.8,4545.5,.0013,.0003,.13,.14
TT,p14p15,2023,19551.5,5687.1,.0014,.0004,.14,.15
TT,p15p16,2023,20570,7054,.0015,.0005,.15,.16
TT,p16p17,2023,21640.9,8474.9,.0016,.0006,.16,.17
TT,p17p18,2023,22933.8,10117.9,.0016,.0007,.17,.18
TT,p18p19,2023,24377.2,11905.5,.0017,.0009,.18,.19
TT,p19p20,2023,26330.3,14215.3,.0019,.001,.19,.2
TT,p1p2,2023,16502.6,8.300000000000001,.0012,0,.01,.02
TT,p20p21,2023,28408.1,16633.1,.002,.0012,.2,.21
TT,p21p22,2023,30805.1,19435.1,.0022,.0014,.21,.22
TT,p22p23,2023,32779,21778.9,.0023,.0016,.22,.23
TT,p23p24,2023,34555.8,23904.9,.0025,.0017,.23,.24
TT,p24p25,2023,36085.6,25759.9,.0026,.0018,.24,.25
TT,p25p26,2023,37672,27668.9,.0027,.002,.25,.26
TT,p26p27,2023,39260.1,29490.6,.0028,.0021,.26,.27
TT,p27p28,2023,41199,31673.1,.003,.0023,.27,.28
TT,p28p29,2023,42889.4,33587.1,.0031,.0024,.28,.29
TT,p29p30,2023,44159,35053,.0032,.0025,.29,.3
TT,p2p3,2023,16510,15,.0012,0,.02,.03
TT,p30p31,2023,45782,36910.4,.0033,.0026,.3,.31
TT,p31p32,2023,47626.10000000001,38858.5,.0034,.0028,.31,.32
TT,p32p33,2023,49458.60000000001,40792.5,.0035,.0029,.32,.33
TT,p33p34,2023,51065.8,42487.8,.0037,.003,.33,.34
TT,p34p35,2023,52769.5,44282.9,.0038,.0032,.34,.35
TT,p35p36,2023,54503,46104.60000000001,.0039,.0033,.35,.36
TT,p36p37,2023,56199.2,47909.60000000001,.004,.0034,.36,.37
TT,p37p38,2023,57885.3,49700.60000000001,.0041,.0036,.37,.38
TT,p38p39,2023,59436.8,51348.5,.0043,.0037,.38,.39
TT,p39p40,2023,60942.60000000001,52946.5,.0044,.0038,.39,.4
TT,p3p4,2023,16753.7,20.8,.0012,0,.03,.04
TT,p40p41,2023,62387.60000000001,54478.9,.0045,.0039,.4,.41
TT,p41p42,2023,63939.10000000001,56145.10000000001,.0046,.004,.41,.42
TT,p42p43,2023,65591.2,57915.3,.0047,.0042,.42,.43
TT,p43p44,2023,67084.5,59521.60000000001,.0048,.0043,.43,.44
TT,p44p45,2023,68528.7,61073.9,.0049,.0044,.44,.45
TT,p45p46,2023,70066.90000000001,62725.2,.005,.0045,.45,.46
TT,p46p47,2023,71599.2,64354,.0051,.0046,.46,.47
TT,p47p48,2023,73200.60000000001,66054.3,.0052,.0047,.47,.48
TT,p48p49,2023,74962.40000000001,67919.2,.0054,.0049,.48,.49
TT,p49p50,2023,76638.60000000001,69693.60000000001,.0055,.005,.49,.5
TT,p4p5,2023,16801.1,26.6,.0012,0,.04,.05
TT,p50p51,2023,78141.10000000001,71284.90000000001,.0056,.0051,.5,.51
TT,p51p52,2023,79673.40000000001,72913.8,.0057,.0052,.51,.52
TT,p52p53,2023,81377.90000000001,74718.8,.0058,.0054,.52,.53
TT,p53p54,2023,82983.40000000001,76418.3,.0059,.0055,.53,.54
TT,p54p55,2023,84727,78260,.0061,.0056,.54,.55
TT,p55p56,2023,86543.70000000001,80174.8,.0062,.0057,.55,.5600000000000001
TT,p56p57,2023,88364.5,82103.70000000001,.0063,.0059,.5600000000000001,.57
TT,p57p58,2023,90125.5,83969.5,.0065,.006,.57,.58
TT,p58p59,2023,92392.90000000001,86360.70000000001,.0066,.0062,.58,.59
TT,p59p60,2023,94444.10000000001,88526.70000000001,.0068,.0063,.59,.6
TT,p5p6,2023,17003.1,33.3,.0012,0,.05,.06
TT,p60p61,2023,96714.8,90924.60000000001,.0069,.0065,.6,.61
TT,p61p62,2023,98886.5,93239.3,.0071,.0067,.61,.62
TT,p62p63,2023,101291,95802.70000000001,.0073,.0069,.62,.63
TT,p63p64,2023,103664,98339.40000000001,.0074,.007,.63,.64
TT,p64p65,2023,105759.2,100596.8,.0076,.0072,.64,.65
TT,p65p66,2023,107892.7,102900.7,.0077,.0074,.65,.66
TT,p66p67,2023,110347.2,105537.2,.0079,.0076,.66,.67
TT,p67p68,2023,113287.2,108687.6,.0081,.0078,.67,.68
TT,p68p69,2023,116181.4,111802.2,.0083,.008,.68,.6899999999999999
TT,p69p70,2023,119020.8,114869.4,.0085,.0082,.6899999999999999,.7
TT,p6p7,2023,17255.9,38.2,.0012,0,.06,.07
TT,p70p71,2023,121695.6,117773.6,.0087,.0084,.7,.71
TT,p71p72,2023,125087.9,121397.9,.009,.0087,.71,.72
TT,p72p73,2023,128542.5,125097.9,.0092,.009,.72,.73
TT,p73p74,2023,131836.7,128638.2,.0095,.0092,.73,.74
TT,p74p75,2023,135499.3,132570.1,.0097,.0095,.74,.75
TT,p75p76,2023,139507.7,136872.8,.01,.0098,.75,.76
TT,p76p77,2023,143851.2,141516.4,.0103,.0101,.76,.77
TT,p77p78,2023,148238.7,146217.5,.0106,.0105,.77,.78
TT,p78p79,2023,153342.1,151685.9,.011,.0109,.78,.79
TT,p79p80,2023,158891.2,157641.5,.0114,.0113,.79,.8
TT,p7p8,2023,17477,54.90000000000001,.0013,0,.07,.08
TT,p80p81,2023,164984,164195,.0118,.0118,.8,.8100000000000001
TT,p81p82,2023,171503.4,171278.1,.0123,.0123,.8100000000000001,.82
TT,p82p83,2023,178645.6,179064.6,.0128,.0128,.82,.83
TT,p83p84,2023,187257.7,188457.5,.0134,.0135,.83,.84
TT,p84p85,2023,196697.1,198793.2,.0141,.0143,.84,.85
TT,p85p86,2023,207204.1,210337,.0149,.0151,.85,.86
TT,p86p87,2023,217832.5,222067,.0156,.0159,.86,.87
TT,p87p88,2023,230803.9,236386.2,.0165,.0169,.87,.88
TT,p88p89,2023,245262.8,252399.1,.0176,.0181,.88,.89
TT,p89p90,2023,260320.3,269162.7,.0187,.0193,.89,.9
TT,p8p9,2023,17536.9,690.9000000000001,.0013,0,.08,.09
TT,p90p91,2023,272740.4,283194.2,.0196,.0203,.9,.91
TT,p91p92,2023,283390.4,296120.3,.0203,.0212,.91,.92
TT,p92p93,2023,293980.6,309115.4,.0211,.0222,.92,.93
TT,p93p94,2023,306612.3,324465.6,.022,.0233,.93,.9399999999999999
TT,p94p95,2023,327446.7,348969.6,.0235,.025,.9399999999999999,.95
TT,p95p96,2023,391960.4,421947.8,.0281,.0302,.95,.96
TT,p96p97,2023,512938,562615.3,.0368,.0403,.96,.97
TT,p97p98,2023,631148.6000000001,703646.6000000001,.0452,.0504,.97,.98
TT,p98p99,2023,842992.6000000001,955585.2000000001,.0604,.0685,.98,.99
TT,p99.1p99.2,2023,1318211.5,1515701,.0094,.0109,.991,.992
TT,p99.2p99.3,2023,1402753.1,1613695.3,.0101,.0116,.992,.993
TT,p99.3p99.4,2023,1472228.8,1695688.5,.0106,.0122,.993,.9940000000000001
TT,p99.4p99.5,2023,1531317.7,1762948.4,.011,.0126,.9940000000000001,.995
TT,p99.5p99.6,2023,1580676.5,1820700.7,.0113,.0131,.995,.996
TT,p99.6p99.7,2023,1631801.1,1879359.3,.0117,.0135,.996,.997
TT,p99.7p99.8,2023,1775315.2,2035652.7,.0127,.0146,.997,.998
TT,p99.8p99.9,2023,2537326,2883214.2,.0182,.0207,.998,.9990000000000001
TT,p99.9p100,2023,12837024.2,14036715.1,.092,.1006,.9990000000000001,1
TT,p99p99.1,2023,1224378.6,1402547.3,.0088,.0101,.99,.991
TT,p9p10,2023,17817.1,1340.3,.0013,.0001,.09,.1
