country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
TV,p0p1,2023,0,0,0,0,0,.01
TV,p10p11,2023,6592,1940,.003,.0009,.1,.11
TV,p11p12,2023,6774.200000000001,2292.7,.0031,.0011,.11,.12
TV,p12p13,2023,7109.8,2645.5,.0033,.0012,.12,.13
TV,p13p14,2023,7377.3,2998.3,.0034,.0014,.13,.14
TV,p14p15,2023,7456.200000000001,3350.9,.0034,.0015,.14,.15
TV,p15p16,2023,7463.1,3703.7,.0034,.0017,.15,.16
TV,p16p17,2023,7555.3,4056.4,.0035,.0019,.16,.17
TV,p17p18,2023,7583.8,4409.1,.0035,.002,.17,.18
TV,p18p19,2023,7995.8,4761.900000000001,.0037,.0022,.18,.19
TV,p19p20,2023,8008.5,5114.6,.0037,.0023,.19,.2
TV,p1p2,2023,0,0,0,0,.01,.02
TV,p20p21,2023,8059.3,5291,.0037,.0024,.2,.21
TV,p21p22,2023,8164.400000000001,5607.6,.0037,.0026,.21,.22
TV,p22p23,2023,8331.6,5928.5,.0038,.0027,.22,.23
TV,p23p24,2023,8443,6253.8,.0039,.0029,.23,.24
TV,p24p25,2023,8763.800000000001,6583.200000000001,.004,.003,.24,.25
TV,p25p26,2023,8873.800000000001,6915.900000000001,.0041,.0032,.25,.26
TV,p26p27,2023,8909.700000000001,7252.3,.0041,.0033,.26,.27
TV,p27p28,2023,9044.9,7591.900000000001,.0041,.0035,.27,.28
TV,p28p29,2023,9055.200000000001,7934.1,.0042,.0036,.28,.29
TV,p29p30,2023,9089.6,8279,.0042,.0038,.29,.3
TV,p2p3,2023,0,0,0,0,.02,.03
TV,p30p31,2023,9419.700000000001,8625.700000000001,.0043,.004,.3,.31
TV,p31p32,2023,9753.300000000001,8974.4,.0045,.0041,.31,.32
TV,p32p33,2023,10088.3,9324.1,.0046,.0043,.32,.33
TV,p33p34,2023,10424.3,9675.1,.0048,.0044,.33,.34
TV,p34p35,2023,10762.2,10026.2,.0049,.0046,.34,.35
TV,p35p36,2023,11101.8,10377.3,.0051,.0048,.35,.36
TV,p36p37,2023,11438.1,10728,.0052,.0049,.36,.37
TV,p37p38,2023,11770.9,11077.5,.0054,.0051,.37,.38
TV,p38p39,2023,12104.4,11425.5,.0055,.0052,.38,.39
TV,p39p40,2023,12434.1,11771.4,.0057,.0054,.39,.4
TV,p3p4,2023,0,0,0,0,.03,.04
TV,p40p41,2023,12760.3,12114.7,.0058,.0056,.4,.41
TV,p41p42,2023,13076.5,12454.9,.006,.0057,.41,.42
TV,p42p43,2023,13389.1,12790.9,.0061,.0059,.42,.43
TV,p43p44,2023,13696.2,13122.9,.0063,.006,.43,.44
TV,p44p45,2023,13997.1,13449.7,.0064,.0062,.44,.45
TV,p45p46,2023,14290.5,13771.1,.0066,.0063,.45,.46
TV,p46p47,2023,14581,14086.3,.0067,.0065,.46,.47
TV,p47p48,2023,14861.9,14394.9,.0068,.0066,.47,.48
TV,p48p49,2023,15134.7,14696.5,.0069,.0067,.48,.49
TV,p49p50,2023,15401.8,14990.4,.0071,.0069,.49,.5
TV,p4p5,2023,0,0,0,0,.04,.05
TV,p50p51,2023,15658.2,15276.3,.0072,.007,.5,.51
TV,p51p52,2023,15904.9,15553.9,.0073,.0071,.51,.52
TV,p52p53,2023,16143.1,15822.7,.0074,.0073,.52,.53
TV,p53p54,2023,16369.9,16082.8,.0075,.0074,.53,.54
TV,p54p55,2023,16587.1,16333.5,.0076,.0075,.54,.55
TV,p55p56,2023,16794.8,16574.7,.0077,.0076,.55,.5600000000000001
TV,p56p57,2023,16989.4,16806.3,.0078,.0077,.5600000000000001,.57
TV,p57p58,2023,17175.1,17027.7,.0079,.0078,.57,.58
TV,p58p59,2023,17350.5,17239.1,.008,.0079,.58,.59
TV,p59p60,2023,17514.8,17439.7,.008,.008,.59,.6
TV,p5p6,2023,5813.3,176.5,.0027,.0001,.05,.06
TV,p60p61,2023,17668.5,17630.3,.0081,.0081,.6,.61
TV,p61p62,2023,17808,17809.8,.0082,.0082,.61,.62
TV,p62p63,2023,17937.4,17978.8,.0082,.0082,.62,.63
TV,p63p64,2023,18057.2,18137,.0083,.0083,.63,.64
TV,p64p65,2023,18166,18284.7,.0083,.0084,.64,.65
TV,p65p66,2023,18264.6,18421.9,.0084,.0084,.65,.66
TV,p66p67,2023,18351.7,18549.2,.0084,.0085,.66,.67
TV,p67p68,2023,18431.4,18666.8,.0084,.0086,.67,.68
TV,p68p69,2023,18502,18775.4,.0085,.0086,.68,.6899999999999999
TV,p69p70,2023,18564.2,18875.8,.0085,.0087,.6899999999999999,.7
TV,p6p7,2023,5869.900000000001,529,.0027,.0002,.06,.07
TV,p70p71,2023,18617,18969.1,.0085,.0087,.7,.71
TV,p71p72,2023,18668.1,19057,.0086,.0087,.71,.72
TV,p72p73,2023,18713.9,19141.2,.0086,.0088,.72,.73
TV,p73p74,2023,18760.8,19224.1,.0086,.0088,.73,.74
TV,p74p75,2023,18808.5,19308.9,.0086,.0089,.74,.75
TV,p75p76,2023,18861.1,19399.4,.0086,.0089,.75,.76
TV,p76p77,2023,18924.1,19500.8,.0087,.0089,.76,.77
TV,p77p78,2023,19002.9,19619.6,.0087,.009,.77,.78
TV,p78p79,2023,19104.7,19763.7,.0088,.0091,.78,.79
TV,p79p80,2023,19241.4,19943.8,.0088,.0091,.79,.8
TV,p7p8,2023,6036.1,881.9000000000001,.0028,.0004,.07,.08
TV,p80p81,2023,19423.7,20173.5,.0089,.0092,.8,.8100000000000001
TV,p81p82,2023,19670,20470.4,.009,.0094,.8100000000000001,.82
TV,p82p83,2023,19999.8,20857.1,.0092,.0096,.82,.83
TV,p83p84,2023,20441.7,21363.6,.0094,.0098,.83,.84
TV,p84p85,2023,21032.3,22028.5,.0096,.0101,.84,.85
TV,p85p86,2023,21821.4,22903.3,.01,.0105,.85,.86
TV,p86p87,2023,22868.7,24055.8,.0105,.011,.86,.87
TV,p87p88,2023,24261.5,25576.2,.0111,.0117,.87,.88
TV,p88p89,2023,26106.6,27583.7,.012,.0126,.88,.89
TV,p89p90,2023,28565.1,30236.6,.0131,.0139,.89,.9
TV,p8p9,2023,6037.400000000001,1234.6,.0028,.0006,.08,.09
TV,p90p91,2023,31851,33741.3,.0146,.0155,.9,.91
TV,p91p92,2023,36213,38371.1,.0166,.0176,.91,.92
TV,p92p93,2023,42013.60000000001,44504.60000000001,.0193,.0204,.92,.93
TV,p93p94,2023,49757,52680,.0228,.0241,.93,.9399999999999999
TV,p94p95,2023,60096.10000000001,63676.2,.0275,.0292,.9399999999999999,.95
TV,p95p96,2023,73963.3,78643,.0339,.036,.95,.96
TV,p96p97,2023,92780.3,99309.5,.0425,.0455,.96,.97
TV,p97p98,2023,118950.8,128307.5,.0545,.0588,.97,.98
TV,p98p99,2023,156726.1,169775.3,.0718,.0778,.98,.99
TV,p99.1p99.2,2023,187810.9,206444.9,.0086,.0095,.991,.992
TV,p99.2p99.3,2023,194362.6,214073.3,.0089,.0098,.992,.993
TV,p99.3p99.4,2023,202375.2,223129.8,.0093,.0102,.993,.9940000000000001
TV,p99.4p99.5,2023,212986,234668.5,.0098,.0108,.9940000000000001,.995
TV,p99.5p99.6,2023,228043.1,250772.8,.0105,.0115,.995,.996
TV,p99.6p99.7,2023,251947.6,276004.4,.0115,.0127,.996,.997
TV,p99.7p99.8,2023,294589.4,321879.4,.0135,.0148,.997,.998
TV,p99.8p99.9,2023,382884.7,422652.5,.0176,.0194,.998,.9990000000000001
TV,p99.9p100,2023,1030976.5,1160726.8,.0473,.0532,.9990000000000001,1
TV,p99p99.1,2023,182265.7,199669.6,.0084,.0092,.99,.991
TV,p9p10,2023,6468.6,1587.2,.003,.0007,.09,.1
