country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
TW,p0p1,2023,97526.90000000001,0,.0009,0,0,.01
TW,p10p11,2023,150656.8,66981.90000000001,.0014,.0006,.1,.11
TW,p11p12,2023,157358.2,79160.40000000001,.0014,.0007,.11,.12
TW,p12p13,2023,164323.5,91339,.0015,.0008,.12,.13
TW,p13p14,2023,171559.2,103517.5,.0016,.0009,.13,.14
TW,p14p15,2023,179085.1,115696,.0016,.001,.14,.15
TW,p15p16,2023,186881.5,127874.6,.0017,.0012,.15,.16
TW,p16p17,2023,195449.5,140053.1,.0018,.0013,.16,.17
TW,p17p18,2023,204307.8,152231.6,.0018,.0014,.17,.18
TW,p18p19,2023,213462.9,164410.1,.0019,.0015,.18,.19
TW,p19p20,2023,222901.6,176588.7,.002,.0016,.19,.2
TW,p1p2,2023,101181,0,.0009,0,.01,.02
TW,p20p21,2023,232650.4,182677.9,.0021,.0017,.2,.21
TW,p21p22,2023,242339.7,194134.7,.0022,.0018,.21,.22
TW,p22p23,2023,252299.5,205841,.0023,.0019,.22,.23
TW,p23p24,2023,262523.2,217797.4,.0024,.002,.23,.24
TW,p24p25,2023,273004.1,230004.3,.0025,.0021,.24,.25
TW,p25p26,2023,283748.8,242462,.0026,.0022,.25,.26
TW,p26p27,2023,296927.4,255170.3,.0027,.0023,.26,.27
TW,p27p28,2023,310356.6,268128.9,.0028,.0024,.27,.28
TW,p28p29,2023,324056.3,281337.2,.0029,.0025,.28,.29
TW,p29p30,2023,338013.2,294794.2,.0031,.0027,.29,.3
TW,p2p3,2023,105171.5,0,.001,0,.02,.03
TW,p30p31,2023,352247.1,308498.8,.0032,.0028,.3,.31
TW,p31p32,2023,366593.2,322449.4,.0033,.0029,.31,.32
TW,p32p33,2023,381189.9,336644.3,.0034,.003,.32,.33
TW,p33p34,2023,396043.9,351081.5,.0036,.0032,.33,.34
TW,p34p35,2023,411128.7,365758.5,.0037,.0033,.34,.35
TW,p35p36,2023,426457.5,380672.8,.0039,.0034,.35,.36
TW,p36p37,2023,440955.3,395821.4,.004,.0036,.36,.37
TW,p37p38,2023,455670.7,411201.2,.0041,.0037,.37,.38
TW,p38p39,2023,470636.8,426808.8,.0043,.0039,.38,.39
TW,p39p40,2023,485814,442640.6,.0044,.004,.39,.4
TW,p3p4,2023,109518.2,0,.001,0,.03,.04
TW,p40p41,2023,501222,458693.1,.0045,.0041,.4,.41
TW,p41p42,2023,516742.1,474962.5,.0047,.0043,.41,.42
TW,p42p43,2023,532460.1,491445,.0048,.0044,.42,.43
TW,p43p44,2023,548389.2000000001,508136.9,.005,.0046,.43,.44
TW,p44p45,2023,564522.8,525034.9,.0051,.0047,.44,.45
TW,p45p46,2023,580847.6,542135.9,.0052,.0049,.45,.46
TW,p46p47,2023,598069.5,559437.3,.0054,.0051,.46,.47
TW,p47p48,2023,615495.8,576937.5,.0056,.0052,.47,.48
TW,p48p49,2023,633100.3,594635.6,.0057,.0054,.48,.49
TW,p49p50,2023,650902.6000000001,612532.3,.0059,.0055,.49,.5
TW,p4p5,2023,114227.7,0,.001,0,.04,.05
TW,p50p51,2023,668909.4,630629.8,.006,.0057,.5,.51
TW,p51p52,2023,687015.1000000001,648932.2000000001,.0062,.0059,.51,.52
TW,p52p53,2023,705325.3,667444.6000000001,.0064,.006,.52,.53
TW,p53p54,2023,723840,686172.9,.0065,.0062,.53,.54
TW,p54p55,2023,742565.7000000001,705124,.0067,.0064,.54,.55
TW,p55p56,2023,761515.7000000001,724305.7000000001,.0069,.0065,.55,.5600000000000001
TW,p56p57,2023,781019.8,743726.8,.0071,.0067,.5600000000000001,.57
TW,p57p58,2023,800748.1000000001,763397.7000000001,.0072,.0069,.57,.58
TW,p58p59,2023,820746.9,783330.3,.0074,.0071,.58,.59
TW,p59p60,2023,841002.9,803538.2000000001,.0076,.0073,.59,.6
TW,p5p6,2023,119326.3,6089.3,.0011,.0001,.05,.06
TW,p60p61,2023,861542.5,824037,.0078,.0074,.6,.61
TW,p61p62,2023,882227.2000000001,844844.7000000001,.008,.0076,.61,.62
TW,p62p63,2023,903221.9,865982.3,.0082,.0078,.62,.63
TW,p63p64,2023,924546.5,887473.7000000001,.0084,.008,.63,.64
TW,p64p65,2023,946253.5,909346.5,.0086,.0082,.64,.65
TW,p65p66,2023,968349.8,931633,.0088,.0084,.65,.66
TW,p66p67,2023,990446,954370.3,.009,.0086,.66,.67
TW,p67p68,2023,1013017.2,977601.6000000001,.0092,.0088,.67,.68
TW,p68p69,2023,1036122.6,1001377.2,.0094,.009,.68,.6899999999999999
TW,p69p70,2023,1059815,1025755.6,.0096,.0093,.6899999999999999,.7
TW,p6p7,2023,124794.3,18267.8,.0011,.0002,.06,.07
TW,p70p71,2023,1084160.5,1050805.6,.0098,.0095,.7,.71
