country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
TZ,p0p1,2023,209576.6,0,.0004,0,0,.01
TZ,p10p11,2023,957255.1000000001,487518.6,.0018,.0009,.1,.11
TZ,p11p12,2023,1002785.6,576158.4,.0019,.0011,.11,.12
TZ,p12p13,2023,1042837.6,664798.1000000001,.002,.0013,.12,.13
TZ,p13p14,2023,1087161,753437.8,.0021,.0015,.13,.14
TZ,p14p15,2023,1129379.6,842077.7000000001,.0022,.0016,.14,.15
TZ,p15p16,2023,1170700.7,930717.4,.0023,.0018,.15,.16
TZ,p16p17,2023,1215457.4,1019357.1,.0023,.002,.16,.17
TZ,p17p18,2023,1258202.2,1107996.9,.0024,.0021,.17,.18
TZ,p18p19,2023,1301782.8,1196636.6,.0025,.0023,.18,.19
TZ,p19p20,2023,1345889.5,1285276.4,.0026,.0025,.19,.2
TZ,p1p2,2023,310139.9,0,.0006,0,.01,.02
TZ,p20p21,2023,1392596.2,1329596.3,.0027,.0026,.2,.21
TZ,p21p22,2023,1431472,1368241,.0028,.0026,.21,.22
TZ,p22p23,2023,1470657.3,1407105.4,.0028,.0027,.22,.23
TZ,p23p24,2023,1508140.3,1444257.4,.0029,.0028,.23,.24
TZ,p24p25,2023,1545778,1481536.1,.003,.0029,.24,.25
TZ,p25p26,2023,1581311,1516658.6,.003,.0029,.25,.26
TZ,p26p27,2023,1617617.8,1551951.8,.0031,.003,.26,.27
TZ,p27p28,2023,1657391.2,1590585.3,.0032,.0031,.27,.28
TZ,p28p29,2023,1695431.4,1627486,.0033,.0031,.28,.29
TZ,p29p30,2023,1734895.3,1665703,.0033,.0032,.29,.3
TZ,p2p3,2023,426984,0,.0008,0,.02,.03
TZ,p30p31,2023,1779156.7,1708532.5,.0034,.0033,.3,.31
TZ,p31p32,2023,1822056.3,1750140.6,.0035,.0034,.31,.32
TZ,p32p33,2023,1860994.1,1787845.3,.0036,.0034,.32,.33
TZ,p33p34,2023,1904729.3,1830281.9,.0037,.0035,.33,.34
TZ,p34p35,2023,1944131.4,1868394,.0037,.0036,.34,.35
TZ,p35p36,2023,1988052.4,1910985.1,.0038,.0037,.35,.36
TZ,p36p37,2023,2026928.2,1949244.3,.0039,.0038,.36,.37
TZ,p37p38,2023,2071530.1,1993186.3,.004,.0038,.37,.38
TZ,p38p39,2023,2114832.1,2035736.5,.0041,.0039,.38,.39
TZ,p39p40,2023,2159279.3,2079433.4,.0042,.004,.39,.4
TZ,p3p4,2023,517302.2,0,.001,0,.03,.04
TZ,p40p41,2023,2202055.1,2121444.6,.0042,.0041,.4,.41
TZ,p41p42,2023,2250216.5,2169536.9,.0043,.0042,.41,.42
TZ,p42p43,2023,2292620.9,2211971.9,.0044,.0043,.42,.43
TZ,p43p44,2023,2342701.3,2262046.3,.0045,.0044,.43,.44
TZ,p44p45,2023,2390089,2309439.1,.0046,.0044,.44,.45
TZ,p45p46,2023,2437260,2356652.1,.0047,.0045,.45,.46
TZ,p46p47,2023,2482264.3,2401217.6,.0048,.0046,.46,.47
TZ,p47p48,2023,2537049.5,2455469.6,.0049,.0047,.47,.48
TZ,p48p49,2023,2591865.6,2509751,.005,.0048,.48,.49
TZ,p49p50,2023,2654110.3,2571429.8,.0051,.005,.49,.5
TZ,p4p5,2023,594682.4,0,.0011,0,.04,.05
TZ,p50p51,2023,2710505,2627352,.0052,.0051,.5,.51
TZ,p51p52,2023,2754426,2671848.3,.0053,.0051,.51,.52
TZ,p52p53,2023,2815927.8,2733762.4,.0054,.0053,.52,.53
TZ,p53p54,2023,2870341.5,2788673.1,.0055,.0054,.53,.54
TZ,p54p55,2023,2928345.7,2847191.7,.0056,.0055,.54,.55
TZ,p55p56,2023,2992911.8,2912178.5,.0058,.0056,.55,.5600000000000001
TZ,p56p57,2023,3056332.6,2976931.4,.0059,.0057,.5600000000000001,.57
TZ,p57p58,2023,3122879.6,3044796.8,.006,.0059,.57,.58
