country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
UA,p0p1,2023,52499.8,0,.0025,0,0,.01
UA,p10p11,2023,98974,38077.4,.0047,.0018,.1,.11
UA,p11p12,2023,100955.5,45000.60000000001,.0048,.0022,.11,.12
UA,p12p13,2023,103024.3,51923.7,.0049,.0025,.12,.13
UA,p13p14,2023,104856.3,58846.9,.005,.0028,.13,.14
UA,p14p15,2023,106695.8,65770,.0051,.0031,.14,.15
UA,p15p16,2023,108664.8,72693.2,.0052,.0035,.15,.16
UA,p16p17,2023,110560.4,79616.40000000001,.0053,.0038,.16,.17
UA,p17p18,2023,111877.7,86539.5,.0054,.0041,.17,.18
UA,p18p19,2023,113266,93462.70000000001,.0054,.0045,.18,.19
UA,p19p20,2023,114855,100385.8,.0055,.0048,.19,.2
UA,p1p2,2023,61514,0,.0029,0,.01,.02
UA,p20p21,2023,115810.9,103847.4,.0055,.005,.2,.21
UA,p21p22,2023,116627.2,105548.7,.0056,.005,.21,.22
UA,p22p23,2023,117756.3,107573.5,.0056,.0051,.22,.23
UA,p23p24,2023,119206.9,109936.8,.0057,.0053,.23,.24
UA,p24p25,2023,120263.8,111856.4,.0058,.0053,.24,.25
UA,p25p26,2023,121268.2,113705.2,.0058,.0054,.25,.26
UA,p26p27,2023,122411.1,115585.9,.0059,.0055,.26,.27
UA,p27p28,2023,123516.5,117410.8,.0059,.0056,.27,.28
UA,p28p29,2023,124522.2,119110.5,.006,.0057,.28,.29
UA,p29p30,2023,125711.1,120989.1,.006,.0058,.29,.3
UA,p2p3,2023,66921.5,0,.0032,0,.02,.03
UA,p30p31,2023,127093.2,123059.9,.0061,.0059,.3,.31
UA,p31p32,2023,128705.9,125135.9,.0062,.006,.31,.32
UA,p32p33,2023,130172.7,127039.3,.0062,.0061,.32,.33
UA,p33p34,2023,131517.5,128796.7,.0063,.0062,.33,.34
UA,p34p35,2023,132943.2,130624.7,.0064,.0062,.34,.35
