country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
UG,p0p1,2023,267116,0,.0003,0,0,.01
UG,p10p11,2023,1318788.7,694631.9,.0016,.0009,.1,.11
UG,p11p12,2023,1386293.6,820928.6000000001,.0017,.001,.11,.12
UG,p12p13,2023,1452927.4,947225.3,.0018,.0012,.12,.13
UG,p13p14,2023,1519706.4,1073522.1,.0019,.0013,.13,.14
UG,p14p15,2023,1586727.4,1199818.8,.002,.0015,.14,.15
UG,p15p16,2023,1659894,1326115.5,.002,.0016,.15,.16
UG,p16p17,2023,1724688.9,1452412.2,.0021,.0018,.16,.17
UG,p17p18,2023,1787209.6,1578709,.0022,.0019,.17,.18
UG,p18p19,2023,1853988.6,1705005.6,.0023,.0021,.18,.19
UG,p19p20,2023,1917573.8,1831302.4,.0024,.0023,.19,.2
UG,p1p2,2023,405271.2,0,.0005,0,.01,.02
UG,p20p21,2023,1985272.3,1894450.8,.0024,.0023,.2,.21
UG,p21p22,2023,2047986.5,1956850.6,.0025,.0024,.21,.22
UG,p22p23,2023,2107119.8,2015713.2,.0026,.0025,.22,.23
UG,p23p24,2023,2172882.6,2081185.9,.0027,.0026,.23,.24
UG,p24p25,2023,2234048.3,2141985.4,.0028,.0026,.24,.25
UG,p25p26,2023,2291729.9,2199353.2,.0028,.0027,.25,.26
UG,p26p27,2023,2361799.4,2268782.2,.0029,.0028,.26,.27
UG,p27p28,2023,2427175.1,2333386.4,.003,.0029,.27,.28
UG,p28p29,2023,2488534.4,2393970.5,.0031,.0029,.28,.29
UG,p29p30,2023,2545393.3,2450006.6,.0031,.003,.29,.3
UG,p2p3,2023,560508.2000000001,0,.0007,0,.02,.03
UG,p30p31,2023,2603220.1,2506814.3,.0032,.0031,.3,.31
UG,p31p32,2023,2664434.2,2566517,.0033,.0032,.31,.32
UG,p32p33,2023,2721777,2622326.8,.0034,.0032,.32,.33
UG,p33p34,2023,2785604.2,2684602.3,.0034,.0033,.33,.34
UG,p34p35,2023,2849528.2,2746942.4,.0035,.0034,.34,.35
UG,p35p36,2023,2917033,2812830.3,.0036,.0035,.35,.36
UG,p36p37,2023,2990731.9,2884984.9,.0037,.0036,.36,.37
UG,p37p38,2023,3068156.8,2960979.1,.0038,.0036,.37,.38
UG,p38p39,2023,3134355.2,3025862.7,.0039,.0037,.38,.39
UG,p39p40,2023,3195182.1,3085390.3,.0039,.0038,.39,.4
UG,p3p4,2023,685404.3,0,.0008,0,.03,.04
UG,p40p41,2023,3259832,3148879.3,.004,.0039,.4,.41
UG,p41p42,2023,3334450.3,3223191.4,.0041,.004,.41,.42
UG,p42p43,2023,3417875.6,3306439.8,.0042,.0041,.42,.43
UG,p43p44,2023,3508849.9,3397262.5,.0043,.0042,.43,.44
UG,p44p45,2023,3591452.7,3479721.6,.0044,.0043,.44,.45
UG,p45p46,2023,3674539.3,3562776.1,.0045,.0044,.45,.46
UG,p46p47,2023,3754722.5,3643168,.0046,.0045,.46,.47
UG,p47p48,2023,3832050.7,3720702.6,.0047,.0046,.47,.48
UG,p48p49,2023,3916347.1,3805210.7,.0048,.0047,.48,.49
UG,p49p50,2023,4007224.6,3896287,.0049,.0048,.49,.5
UG,p4p5,2023,794525.1000000001,0,.001,0,.04,.05
UG,p50p51,2023,4096118.1,3985337.4,.005,.0049,.5,.51
UG,p51p52,2023,4180027.4,4071282.1,.0051,.005,.51,.52
UG,p52p53,2023,4259823.5,4153113.3,.0052,.0051,.52,.53
UG,p53p54,2023,4346249.100000001,4241663.100000001,.0054,.0052,.53,.54
UG,p54p55,2023,4434755.4,4332446.5,.0055,.0053,.54,.55
UG,p55p56,2023,4524229.600000001,4424282.8,.0056,.0054,.55,.5600000000000001
UG,p56p57,2023,4627253.2,4529454.8,.0057,.0056,.5600000000000001,.57
UG,p57p58,2023,4725776.4,4630262.600000001,.0058,.0057,.57,.58
UG,p58p59,2023,4825606.2,4732616.600000001,.0059,.0058,.58,.59
UG,p59p60,2023,4934920.600000001,4844556.100000001,.0061,.006,.59,.6
UG,p5p6,2023,884725.1000000001,63148.3,.0011,.0001,.05,.06
UG,p60p61,2023,5063639.5,4976220.100000001,.0062,.0061,.6,.61
UG,p61p62,2023,5181954.5,5097896,.0064,.0063,.61,.62
UG,p62p63,2023,5300366.300000001,5219870.100000001,.0065,.0064,.62,.63
UG,p63p64,2023,5424004.2,5347384.600000001,.0067,.0066,.63,.64
UG,p64p65,2023,5552094.100000001,5479575.2,.0068,.0067,.64,.65
UG,p65p66,2023,5669247.7,5600950.9,.007,.0069,.65,.66
UG,p66p67,2023,5786933.600000001,5722867.5,.0071,.007,.66,.67
UG,p67p68,2023,5932153.800000001,5872656.800000001,.0073,.0072,.67,.68
UG,p68p69,2023,6067260.300000001,6012401.300000001,.0075,.0074,.68,.6899999999999999
UG,p69p70,2023,6216787.2,6166828.5,.0077,.0076,.6899999999999999,.7
UG,p6p7,2023,970328.1000000001,189445.1,.0012,.0002,.06,.07
UG,p70p71,2023,6387218.9,6342425.4,.0079,.0078,.7,.71
UG,p71p72,2023,6577829.4,6535504.600000001,.0081,.0081,.71,.72
UG,p72p73,2023,6760165.2,6720200.100000001,.0083,.0083,.72,.73
UG,p73p74,2023,6943904.2,6906432.100000001,.0086,.0085,.73,.74
UG,p74p75,2023,7168339.800000001,7133975.2,.0088,.0088,.74,.75
UG,p75p76,2023,7391759.100000001,7360757.7,.0091,.0091,.75,.76
UG,p76p77,2023,7623598.4,7597327.100000001,.0094,.0094,.76,.77
UG,p77p78,2023,7866325.600000001,7845330.4,.0097,.0097,.77,.78
UG,p78p79,2023,8122505.4,8107371.5,.01,.01,.78,.79
UG,p79p80,2023,8389379.5,8380932.5,.0103,.0103,.79,.8
UG,p7p8,2023,1059850.7,315741.8,.0013,.0004,.07,.08
UG,p80p81,2023,8723855.200000001,8723825.200000001,.0107,.0107,.8,.8100000000000001
UG,p81p82,2023,9050975.6,9058126.200000001,.0111,.0112,.8100000000000001,.82
UG,p82p83,2023,9468054.1,9485006.800000001,.0117,.0117,.82,.83
UG,p83p84,2023,9908360,9937293.200000001,.0122,.0122,.83,.84
UG,p84p85,2023,10378861.7,10422417.1,.0128,.0128,.84,.85
UG,p85p86,2023,10958726.1,11021650.6,.0135,.0136,.85,.86
UG,p86p87,2023,11530702.9,11616163.7,.0142,.0143,.86,.87
UG,p87p88,2023,12224769.1,12339165.2,.0151,.0152,.87,.88
UG,p88p89,2023,12895365.9,13042610,.0159,.0161,.88,.89
UG,p89p90,2023,13897583.3,14090421.9,.0171,.0174,.89,.9
UG,p8p9,2023,1151550.8,442038.5,.0014,.0005,.08,.09
UG,p90p91,2023,15135632.3,15386054.1,.0186,.019,.9,.91
UG,p91p92,2023,16659161.6,16957512.7,.0205,.0209,.91,.92
UG,p92p93,2023,18523263.8,18881080.8,.0228,.0233,.92,.93
UG,p93p94,2023,20643352.3,21069342.3,.0254,.026,.93,.9399999999999999
UG,p94p95,2023,23373331.5,23885146.6,.0288,.0294,.9399999999999999,.95
UG,p95p96,2023,26879447.4,27498052.7,.0331,.0339,.95,.96
UG,p96p97,2023,32198202.1,32874691.3,.0397,.0405,.96,.97
UG,p97p98,2023,40728132,41493855.90000001,.0502,.0511,.97,.98
UG,p98p99,2023,57857674.3,58809767.40000001,.0713,.0724,.98,.99
UG,p99.1p99.2,2023,76945390.2,78670426.40000001,.0095,.0097,.991,.992
UG,p99.2p99.3,2023,82351223.80000001,84702947.90000001,.0101,.0104,.992,.993
UG,p99.3p99.4,2023,89067353.5,92173856.90000001,.011,.0114,.993,.9940000000000001
UG,p99.4p99.5,2023,97723945.80000001,101743019.5,.012,.0125,.9940000000000001,.995
UG,p99.5p99.6,2023,109411119.6,114583045.3,.0135,.0141,.995,.996
UG,p99.6p99.7,2023,126316129.6,133035229.7,.0156,.0164,.996,.997
UG,p99.7p99.8,2023,153694617,162706385.7,.0189,.02,.997,.998
UG,p99.8p99.9,2023,209193298.6,222437606.6,.0258,.0274,.998,.9990000000000001
UG,p99.9p100,2023,626177113,674976579.4000001,.0771,.0831,.9990000000000001,1
UG,p99p99.1,2023,72469986.60000001,73673297,.0089,.0091,.99,.991
UG,p9p10,2023,1232217.9,568335.2000000001,.0015,.0007,.09,.1
