country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
US,p0p1,2023,701.5,278.1,.0001,0,0,.01
US,p10p11,2023,19745.5,9895.300000000001,.0022,.0011,.1,.11
US,p11p12,2023,22063.2,11299,.0024,.0013,.11,.12
US,p12p13,2023,24330.3,12703.7,.0027,.0014,.12,.13
US,p13p14,2023,26505.4,14078.3,.0029,.0016,.13,.14
US,p14p15,2023,28549.8,15396.9,.0032,.0017,.14,.15
US,p15p16,2023,30433.8,16636.4,.0034,.0018,.15,.16
US,p16p17,2023,32135,17779.7,.0036,.002,.16,.17
US,p17p18,2023,33638.7,18814.8,.0037,.0021,.17,.18
US,p18p19,2023,34943.3,19739.6,.0039,.0022,.18,.19
US,p19p20,2023,36058,20557.9,.004,.0023,.19,.2
US,p1p2,2023,2145,858.6,.0002,.0001,.01,.02
US,p20p21,2023,37007.6,21285.8,.0041,.0024,.2,.21
US,p21p22,2023,37829.1,21947,.0042,.0024,.21,.22
US,p22p23,2023,38562.4,22568.3,.0043,.0025,.22,.23
US,p23p24,2023,39243.5,23174.1,.0043,.0026,.23,.24
US,p24p25,2023,39908.5,23788.5,.0044,.0026,.24,.25
US,p25p26,2023,40586.9,24431.4,.0045,.0027,.25,.26
US,p26p27,2023,41304,25120.6,.0046,.0028,.26,.27
US,p27p28,2023,42080.3,25869.5,.0047,.0029,.27,.28
US,p28p29,2023,42928.2,26687.8,.0048,.003,.28,.29
US,p29p30,2023,43851.4,27576,.0049,.0031,.29,.3
US,p2p3,2023,3666.4,1490.2,.0004,.0002,.02,.03
US,p30p31,2023,44842.4,28530.9,.005,.0032,.3,.31
US,p31p32,2023,45886.10000000001,29540.8,.0051,.0033,.31,.32
US,p32p33,2023,46964.3,30592.5,.0052,.0034,.32,.33
US,p33p34,2023,48058,31673.9,.0053,.0035,.33,.34
US,p34p35,2023,49153.4,32772.5,.0054,.0036,.34,.35
US,p35p36,2023,50234.2,33878.6,.0056,.0038,.35,.36
US,p36p37,2023,51289.7,34982,.0057,.0039,.36,.37
US,p37p38,2023,52310.3,36076.3,.0058,.004,.37,.38
US,p38p39,2023,53292.7,37156.6,.0059,.0041,.38,.39
US,p39p40,2023,54234.2,38221.8,.006,.0042,.39,.4
US,p3p4,2023,5285.8,2195.6,.0006,.0002,.03,.04
US,p40p41,2023,55142.3,39275.2,.0061,.0044,.4,.41
US,p41p42,2023,56025.7,40323.3,.0062,.0045,.41,.42
US,p42p43,2023,56897.3,41372.3,.0063,.0046,.42,.43
US,p43p44,2023,57768.8,42432.2,.0064,.0047,.43,.44
US,p44p45,2023,58650.60000000001,43509.8,.0065,.0048,.44,.45
US,p45p46,2023,59553.3,44611.10000000001,.0066,.0049,.45,.46
US,p46p47,2023,60485.2,45744.10000000001,.0067,.0051,.46,.47
US,p47p48,2023,61454.10000000001,46913.2,.0068,.0052,.47,.48
US,p48p49,2023,62463.4,48123.10000000001,.0069,.0053,.48,.49
US,p49p50,2023,63515.7,49377.2,.007,.0055,.49,.5
US,p4p5,2023,7017.6,2988.6,.0008,.0003,.04,.05
US,p50p51,2023,64607.8,50673.7,.0072,.0056,.5,.51
US,p51p52,2023,65734.90000000001,52012.8,.0073,.0058,.51,.52
US,p52p53,2023,66889.40000000001,53391.2,.0074,.0059,.52,.53
US,p53p54,2023,68065.5,54806.10000000001,.0075,.0061,.53,.54
US,p54p55,2023,69255,56254.9,.0077,.0062,.54,.55
US,p55p56,2023,70453.10000000001,57736.5,.0078,.0064,.55,.5600000000000001
US,p56p57,2023,71655,59247.8,.0079,.0066,.5600000000000001,.57
US,p57p58,2023,72855.3,60786.4,.0081,.0067,.57,.58
US,p58p59,2023,74053.40000000001,62353.10000000001,.0082,.0069,.58,.59
US,p59p60,2023,75248.8,63946.10000000001,.0083,.0071,.59,.6
US,p5p6,2023,8871,3884.3,.001,.0004,.05,.06
US,p60p61,2023,76444.8,65568.7,.0085,.0073,.6,.61
US,p61p62,2023,77648.3,67221.40000000001,.0086,.0074,.61,.62
US,p62p63,2023,78865.8,68908.5,.0087,.0076,.62,.63
US,p63p64,2023,80106.40000000001,70633.40000000001,.0089,.0078,.63,.64
US,p64p65,2023,81379.3,72400.7,.009,.008,.64,.65
US,p65p66,2023,82692.5,74214.2,.0092,.0082,.65,.66
US,p66p67,2023,84055.8,76077.90000000001,.0093,.0084,.66,.67
US,p67p68,2023,85476.60000000001,77999,.0095,.0086,.67,.68
US,p68p69,2023,86964.70000000001,79982.60000000001,.0096,.0089,.68,.6899999999999999
US,p69p70,2023,88526,82034.5,.0098,.0091,.6899999999999999,.7
US,p6p7,2023,10848.7,4888.2,.0012,.0005,.06,.07
US,p70p71,2023,90166.90000000001,84162.3,.01,.0093,.7,.71
US,p71p72,2023,91890.10000000001,86372.90000000001,.0102,.0096,.71,.72
US,p72p73,2023,93696.70000000001,88675.60000000001,.0104,.0098,.72,.73
US,p73p74,2023,95591.5,91078.20000000001,.0106,.0101,.73,.74
US,p74p75,2023,97577.20000000001,93592.8,.0108,.0104,.74,.75
US,p75p76,2023,99657.10000000001,96232.20000000001,.011,.0107,.75,.76
US,p76p77,2023,101837.1,99008.8,.0113,.011,.76,.77
US,p77p78,2023,104121.9,101939.3,.0115,.0113,.77,.78
US,p78p79,2023,106520.3,105043,.0118,.0116,.78,.79
US,p79p80,2023,109044,108339.3,.0121,.012,.79,.8
US,p7p8,2023,12944.7,6001.3,.0014,.0007,.07,.08
US,p80p81,2023,111706,111853.4,.0124,.0124,.8,.8100000000000001
US,p81p82,2023,114530,115611.9,.0127,.0128,.8100000000000001,.82
US,p82p83,2023,117538.7,119647.4,.013,.0133,.82,.83
US,p83p84,2023,120766.4,124000.3,.0134,.0137,.83,.84
US,p84p85,2023,124251.8,128718,.0138,.0143,.84,.85
US,p85p86,2023,128045.5,133861.2,.0142,.0148,.85,.86
US,p86p87,2023,132211.2,139504.8,.0146,.0155,.86,.87
US,p87p88,2023,136831.2,145746.1,.0152,.0161,.87,.88
US,p88p89,2023,142014.3,152712.5,.0157,.0169,.88,.89
US,p89p90,2023,147905,160573.5,.0164,.0178,.89,.9
US,p8p9,2023,15145.1,7218.3,.0017,.0008,.08,.09
US,p90p91,2023,154698.6,169565.5,.0171,.0188,.9,.91
US,p91p92,2023,162669.5,180025.5,.018,.0199,.91,.92
US,p92p93,2023,172222.1,192454,.0191,.0213,.92,.93
US,p93p94,2023,183983.8,207633.2,.0204,.023,.93,.9399999999999999
US,p94p95,2023,198994.9,226869.5,.022,.0251,.9399999999999999,.95
US,p95p96,2023,219133.9,252544,.0243,.028,.95,.96
US,p96p97,2023,248229.2,289581.7,.0275,.0321,.96,.97
US,p97p98,2023,295714.3,350378.9,.0328,.0388,.97,.98
US,p98p99,2023,394663.9,479862.7,.0437,.0532,.98,.99
US,p99.1p99.2,2023,537863.1,672878.3,.006,.0075,.991,.992
US,p99.2p99.3,2023,579525.4,730324.1000000001,.0064,.0081,.992,.993
US,p99.3p99.4,2023,631685.4,802863.3,.007,.0089,.993,.9940000000000001
US,p99.4p99.5,2023,699318.1000000001,897816.7000000001,.0077,.0099,.9940000000000001,.995
US,p99.5p99.6,2023,791335.4,1028413.6,.0088,.0114,.995,.996
US,p99.6p99.7,2023,925746.7000000001,1221618.3,.0103,.0135,.996,.997
US,p99.7p99.8,2023,1146307.8,1543616.4,.0127,.0171,.997,.998
US,p99.8p99.9,2023,1603276,2224756.3,.0178,.0246,.998,.9990000000000001
US,p99.9p100,2023,6030138.300000001,8965928.200000001,.0668,.0993,.9990000000000001,1
US,p99p99.1,2023,503695.1,626123.9,.0056,.0069,.99,.991
US,p9p10,2023,17424,8524,.0019,.0009,.09,.1
