country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
UY,p0p1,2023,98501.60000000001,13.1,.0009,0,0,.01
UY,p10p11,2023,238054.3,127455.8,.0022,.0012,.1,.11
UY,p11p12,2023,258802.2,157495.4,.0024,.0014,.11,.12
UY,p12p13,2023,276986.8,182722.3,.0025,.0017,.12,.13
UY,p13p14,2023,293242.4,203391.7,.0027,.0019,.13,.14
UY,p14p15,2023,306110.9,219725.8,.0028,.002,.14,.15
UY,p15p16,2023,320921.5,237897.4,.0029,.0022,.15,.16
UY,p16p17,2023,338471.8,255643.9,.0031,.0023,.16,.17
UY,p17p18,2023,350647.2,266609.6,.0032,.0024,.17,.18
UY,p18p19,2023,364398.5,279896.6,.0033,.0026,.18,.19
UY,p19p20,2023,378875.5,293510.5,.0035,.0027,.19,.2
UY,p1p2,2023,104870.5,39.2,.001,0,.01,.02
UY,p20p21,2023,387088.4,300559.4,.0035,.0027,.2,.21
UY,p21p22,2023,398407.2,312754.4,.0036,.0029,.21,.22
UY,p22p23,2023,407090.8,321778.1,.0037,.0029,.22,.23
UY,p23p24,2023,421816.3,338386.8,.0038,.0031,.23,.24
UY,p24p25,2023,433749.8,350091.4,.004,.0032,.24,.25
UY,p25p26,2023,443250.8,357434.5,.004,.0033,.25,.26
UY,p26p27,2023,449135.8,362325.6,.0041,.0033,.26,.27
UY,p27p28,2023,460219.2,373095.2,.0042,.0034,.27,.28
UY,p28p29,2023,469550.1,381811.5,.0043,.0035,.28,.29
UY,p29p30,2023,478050.7,390619.3,.0044,.0036,.29,.3
UY,p2p3,2023,111847.5,71.90000000000001,.001,0,.02,.03
UY,p30p31,2023,490526.8,402781.6,.0045,.0037,.3,.31
UY,p31p32,2023,496993.8,410687.1,.0045,.0037,.31,.32
UY,p32p33,2023,506704,421613.6,.0046,.0038,.32,.33
UY,p33p34,2023,513811.8,430186.1,.0047,.0039,.33,.34
UY,p34p35,2023,521344.6,438464.3,.0048,.004,.34,.35
UY,p35p36,2023,530067.4,446945.2,.0048,.0041,.35,.36
UY,p36p37,2023,544459.5,459643.7,.005,.0042,.36,.37
UY,p37p38,2023,557347.6,471845.2,.0051,.0043,.37,.38
UY,p38p39,2023,571641.6,485799.2,.0052,.0044,.38,.39
UY,p39p40,2023,584379.3,497046.1,.0053,.0045,.39,.4
UY,p3p4,2023,119962.2,91.5,.0011,0,.03,.04
UY,p40p41,2023,594462.3,507573.7,.0054,.0046,.4,.41
UY,p41p42,2023,606042.6,520089.1,.0055,.0047,.41,.42
UY,p42p43,2023,612352.6,528099.2000000001,.0056,.0048,.42,.43
UY,p43p44,2023,617106.4,534664.2000000001,.0056,.0049,.43,.44
UY,p44p45,2023,629321,546859.2000000001,.0057,.005,.44,.45
UY,p45p46,2023,641319.9,559466.2000000001,.0058,.0051,.45,.46
UY,p46p47,2023,653377.5,573766.7000000001,.006,.0052,.46,.47
UY,p47p48,2023,665899.5,586922.9,.0061,.0054,.47,.48
UY,p48p49,2023,677381.8,597685.9,.0062,.0054,.48,.49
UY,p49p50,2023,690551.1000000001,611541.8,.0063,.0056,.49,.5
UY,p4p5,2023,130051.7,117.7,.0012,0,.04,.05
UY,p50p51,2023,702209.9,625691.9,.0064,.0057,.5,.51
UY,p51p52,2023,710363.8,634905.2000000001,.0065,.0058,.51,.52
UY,p52p53,2023,718164.7000000001,644393.1000000001,.0065,.0059,.52,.53
UY,p53p54,2023,734302.7000000001,661936.9,.0067,.006,.53,.54
UY,p54p55,2023,747975.5,677218.2000000001,.0068,.0062,.54,.55
UY,p55p56,2023,759444.7000000001,692133.4,.0069,.0063,.55,.5600000000000001
UY,p56p57,2023,771626.6000000001,705479.3,.007,.0064,.5600000000000001,.57
UY,p57p58,2023,785887.9,719910.6000000001,.0072,.0066,.57,.58
UY,p58p59,2023,803013.2000000001,737323.6000000001,.0073,.0067,.58,.59
UY,p59p60,2023,814789.7000000001,748825.5,.0074,.0068,.59,.6
UY,p5p6,2023,156769.5,143.9,.0014,0,.05,.06
UY,p60p61,2023,832346.6000000001,767140.9,.0076,.007,.6,.61
UY,p61p62,2023,852185.5,789242.3,.0078,.0072,.61,.62
UY,p62p63,2023,869140.8,807897.7000000001,.0079,.0074,.62,.63
UY,p63p64,2023,887475.8,828599.8,.0081,.0076,.63,.64
UY,p64p65,2023,902502.2000000001,845548.5,.0082,.0077,.64,.65
UY,p65p66,2023,914134.8,859254,.0083,.0078,.65,.66
UY,p66p67,2023,932764.1000000001,880963.1000000001,.0085,.008,.66,.67
UY,p67p68,2023,950667.5,901567.1000000001,.0087,.0082,.67,.68
UY,p68p69,2023,968466.4,921144.5,.0088,.0084,.68,.6899999999999999
UY,p69p70,2023,997002,951399.8,.0091,.0087,.6899999999999999,.7
UY,p6p7,2023,178328.2,176.5,.0016,0,.06,.07
UY,p70p71,2023,1022078.6,979857,.0093,.0089,.7,.71
UY,p71p72,2023,1046887.1,1006928,.0095,.0092,.71,.72
UY,p72p73,2023,1071564.8,1035045.1,.0098,.0094,.72,.73
UY,p73p74,2023,1095614.8,1063691.9,.01,.0097,.73,.74
UY,p74p75,2023,1112452.4,1086270.7,.0101,.0099,.74,.75
UY,p75p76,2023,1130166.2,1110726.1,.0103,.0101,.75,.76
UY,p76p77,2023,1159976.9,1147311.1,.0106,.0105,.76,.77
UY,p77p78,2023,1192749.8,1188519.1,.0109,.0108,.77,.78
UY,p78p79,2023,1222992.1,1226784.6,.0111,.0112,.78,.79
UY,p79p80,2023,1256353.4,1271798.2,.0115,.0116,.79,.8
UY,p7p8,2023,187737.7,1026.6,.0017,0,.07,.08
UY,p80p81,2023,1285438.4,1309717.1,.0117,.0119,.8,.8100000000000001
UY,p81p82,2023,1324292.4,1361236.9,.0121,.0124,.8100000000000001,.82
UY,p82p83,2023,1375459.1,1426141.8,.0125,.013,.82,.83
UY,p83p84,2023,1424552.9,1488679.6,.013,.0136,.83,.84
UY,p84p85,2023,1473051.8,1553159.5,.0134,.0142,.84,.85
UY,p85p86,2023,1536792.7,1633123.4,.014,.0149,.85,.86
UY,p86p87,2023,1600425.8,1711177.9,.0146,.0156,.86,.87
UY,p87p88,2023,1680229.5,1808378.3,.0153,.0165,.87,.88
UY,p88p89,2023,1765218.6,1913585.5,.0161,.0174,.88,.89
UY,p89p90,2023,1867807,2022310.7,.017,.0184,.89,.9
UY,p8p9,2023,198075.6,50597.8,.0018,.0005,.08,.09
UY,p90p91,2023,1994301.5,2113959.6,.0182,.0193,.9,.91
UY,p91p92,2023,2146866.6,2205608.4,.0196,.0201,.91,.92
UY,p92p93,2023,2336997.5,2297257.3,.0213,.0209,.92,.93
UY,p93p94,2023,2562967.9,2388906.2,.0234,.0218,.93,.9399999999999999
UY,p94p95,2023,2805838.1,2480555.1,.0256,.0226,.9399999999999999,.95
UY,p95p96,2023,2912601.6,2572207.2,.0265,.0234,.95,.96
UY,p96p97,2023,3073078.7,3016798.4,.028,.0275,.96,.97
UY,p97p98,2023,4335528,4770868.100000001,.0395,.0435,.97,.98
UY,p98p99,2023,5826149.800000001,5796539.800000001,.0531,.0528,.98,.99
UY,p99.1p99.2,2023,7870844.800000001,9058533,.0072,.0083,.991,.992
UY,p99.2p99.3,2023,8303832.800000001,9459889.1,.0076,.0086,.992,.993
UY,p99.3p99.4,2023,8917686.1,9861261.6,.0081,.009,.993,.9940000000000001
UY,p99.4p99.5,2023,9802543.1,10262617.8,.0089,.0094,.9940000000000001,.995
UY,p99.5p99.6,2023,11048280.7,10663974,.0101,.0097,.995,.996
UY,p99.6p99.7,2023,12791103.6,11065330.2,.0117,.0101,.996,.997
UY,p99.7p99.8,2023,14764724.3,11878799,.0135,.0108,.997,.998
UY,p99.8p99.9,2023,24507559.3,23269217.5,.0223,.0212,.998,.9990000000000001
UY,p99.9p100,2023,71654480.3,130037282.8,.0653,.1185,.9990000000000001,1
UY,p99p99.1,2023,7587989.4,8657176.800000001,.0069,.0079,.99,.991
UY,p9p10,2023,220216.3,97834.70000000001,.002,.0009,.09,.1
