country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
UZ,p0p1,2023,5773962.9,0,.0014,0,0,.01
UZ,p10p11,2023,11259049.5,4490261.5,.0026,.0011,.1,.11
UZ,p11p12,2023,11665766.9,5306672.600000001,.0027,.0012,.11,.12
UZ,p12p13,2023,12050341.5,6123083.600000001,.0028,.0014,.12,.13
UZ,p13p14,2023,12408955.3,6939494.7,.0029,.0016,.13,.14
UZ,p14p15,2023,12719465.5,7755906.2,.003,.0018,.14,.15
UZ,p15p16,2023,13058227.1,8572317.300000001,.0031,.002,.15,.16
UZ,p16p17,2023,13399024.8,9388728.9,.0031,.0022,.16,.17
UZ,p17p18,2023,13737022.8,10205140.4,.0032,.0024,.17,.18
UZ,p18p19,2023,14021317.8,11021551,.0033,.0026,.18,.19
UZ,p19p20,2023,14381204.2,11837962.5,.0034,.0028,.19,.2
UZ,p1p2,2023,6147593.2,0,.0014,0,.01,.02
UZ,p20p21,2023,14700113.5,12246168.3,.0034,.0029,.2,.21
UZ,p21p22,2023,15005533.4,12634071.4,.0035,.003,.21,.22
UZ,p22p23,2023,15306626.5,13016467.6,.0036,.003,.22,.23
UZ,p23p24,2023,15555798.2,13344774.1,.0036,.0031,.23,.24
UZ,p24p25,2023,15865544.8,13734881.3,.0037,.0032,.24,.25
UZ,p25p26,2023,16093082.7,14039574.4,.0038,.0033,.25,.26
UZ,p26p27,2023,16405374.5,14426967.5,.0038,.0034,.26,.27
UZ,p27p28,2023,16691705.6,14786991.1,.0039,.0035,.27,.28
UZ,p28p29,2023,17013160.1,15182263.3,.004,.0036,.28,.29
UZ,p29p30,2023,17269967.3,15510090.5,.004,.0036,.29,.3
UZ,p2p3,2023,6862784.800000001,0,.0016,0,.02,.03
UZ,p30p31,2023,17570551.3,15882110.2,.0041,.0037,.3,.31
UZ,p31p32,2023,17868844.8,16188119.6,.0042,.0038,.31,.32
UZ,p32p33,2023,18233312.5,16562485.7,.0043,.0039,.32,.33
UZ,p33p34,2023,18609997,16948921.3,.0044,.004,.33,.34
UZ,p34p35,2023,19009333.5,17359009.1,.0045,.0041,.34,.35
UZ,p35p36,2023,19370747,17730625.2,.0045,.0042,.35,.36
UZ,p36p37,2023,19712817.3,18087497.1,.0046,.0042,.36,.37
UZ,p37p38,2023,20091283.4,18482111.1,.0047,.0043,.37,.38
UZ,p38p39,2023,20502836.7,18911021.2,.0048,.0044,.38,.39
UZ,p39p40,2023,20857887.4,19282352.9,.0049,.0045,.39,.4
UZ,p3p4,2023,7476169.7,0,.0018,0,.03,.04
UZ,p40p41,2023,21254678.7,19696948.5,.005,.0046,.4,.41
UZ,p41p42,2023,21698555.6,20171560.2,.0051,.0047,.41,.42
UZ,p42p43,2023,22112399.5,20615999.8,.0052,.0048,.42,.43
UZ,p43p44,2023,22497228.6,21031965.3,.0053,.0049,.43,.44
UZ,p44p45,2023,22944668.7,21513029.4,.0054,.005,.44,.45
UZ,p45p46,2023,23354440.4,21955979.7,.0055,.0051,.45,.46
UZ,p46p47,2023,23833186,22465591.4,.0056,.0053,.46,.47
UZ,p47p48,2023,24276044.9,22939147.3,.0057,.0054,.47,.48
UZ,p48p49,2023,24795258.7,23491843.9,.0058,.0055,.48,.49
UZ,p49p50,2023,25274004.3,24003658.8,.0059,.0056,.49,.5
UZ,p4p5,2023,8052140.7,0,.0019,0,.04,.05
UZ,p50p51,2023,25722208,24485140.5,.006,.0057,.5,.51
UZ,p51p52,2023,26194336.3,25020776.6,.0061,.0059,.51,.52
UZ,p52p53,2023,26685298.7,25577523.6,.0062,.006,.52,.53
UZ,p53p54,2023,27180078.9,26139860,.0064,.0061,.53,.54
UZ,p54p55,2023,27673332,26701993.6,.0065,.0063,.54,.55
UZ,p55p56,2023,28194582,27294695,.0066,.0064,.55,.5600000000000001
UZ,p56p57,2023,28790150.7,27973860.5,.0067,.0066,.5600000000000001,.57
UZ,p57p58,2023,29304019.7,28569208.5,.0069,.0067,.57,.58
UZ,p58p59,2023,29875409.4,29227557.4,.007,.0068,.58,.59
UZ,p59p60,2023,30485231.1,29928215.6,.0071,.007,.59,.6
UZ,p5p6,2023,8587134.5,408205.5,.002,.0001,.05,.06
UZ,p60p61,2023,31092507.6,30629142.2,.0073,.0072,.6,.61
UZ,p61p62,2023,31729817.1,31369994.2,.0074,.0073,.61,.62
UZ,p62p63,2023,32329458.2,32075104.4,.0076,.0075,.62,.63
UZ,p63p64,2023,33008253.8,32865982.8,.0077,.0077,.63,.64
UZ,p64p65,2023,33717337,33692089.9,.0079,.0079,.64,.65
UZ,p65p66,2023,34556987.2,34659590.8,.0081,.0081,.65,.66
UZ,p66p67,2023,35381620.8,35612759.3,.0083,.0083,.66,.67
UZ,p67p68,2023,36171131.2,36531735,.0085,.0086,.67,.68
UZ,p68p69,2023,36953769.7,37446741.9,.0087,.0088,.68,.6899999999999999
UZ,p69p70,2023,37792656.3,38424467.2,.0089,.009,.6899999999999999,.7
UZ,p6p7,2023,9146307.4,1224616.7,.0021,.0003,.06,.07
UZ,p70p71,2023,38690336.2,39467285.2,.0091,.0092,.7,.71
UZ,p71p72,2023,39619830.8,40509860.5,.0093,.0095,.71,.72
UZ,p72p73,2023,40558742.40000001,41565006.6,.0095,.0097,.72,.73
UZ,p73p74,2023,41566373.5,42694753.90000001,.0097,.01,.73,.74
UZ,p74p75,2023,42542953.5,43792909.3,.01,.0103,.74,.75
UZ,p75p76,2023,43673007.1,45056766.90000001,.0102,.0106,.75,.76
UZ,p76p77,2023,44984022,46513126.5,.0105,.0109,.76,.77
UZ,p77p78,2023,46230135.1,47899645.2,.0108,.0112,.77,.78
UZ,p78p79,2023,47610887.5,49429723.2,.0111,.0116,.78,.79
UZ,p79p80,2023,49230885.40000001,51216564.6,.0115,.012,.79,.8
UZ,p7p8,2023,9669848,2041027.9,.0023,.0005,.07,.08
UZ,p80p81,2023,50769183.6,52913112.2,.0119,.0124,.8,.8100000000000001
UZ,p81p82,2023,52532728.90000001,54849919.6,.0123,.0128,.8100000000000001,.82
UZ,p82p83,2023,54443130.3,56941950.2,.0127,.0133,.82,.83
UZ,p83p84,2023,56298047,58969858.5,.0132,.0138,.83,.84
UZ,p84p85,2023,58601931,61477900.40000001,.0137,.0144,.84,.85
UZ,p85p86,2023,61193546,64290316.3,.0143,.0151,.85,.86
UZ,p86p87,2023,63898929.8,67212357.2,.015,.0157,.86,.87
UZ,p87p88,2023,66821416.3,70359271.40000001,.0156,.0165,.87,.88
UZ,p88p89,2023,70362250.8,74164580.2,.0165,.0174,.88,.89
UZ,p89p90,2023,74266026,78350319.60000001,.0174,.0183,.89,.9
UZ,p8p9,2023,10185244.1,2857439.2,.0024,.0007,.08,.09
UZ,p90p91,2023,76297322.7,80495226.10000001,.0179,.0189,.9,.91
UZ,p91p92,2023,81695110.10000001,86318548.90000001,.0191,.0202,.91,.92
UZ,p92p93,2023,89063746.60000001,94263728.40000001,.0209,.0221,.92,.93
UZ,p93p94,2023,98465079.60000001,104396096,.0231,.0244,.93,.9399999999999999
UZ,p94p95,2023,109837898,116647544.5,.0257,.0273,.9399999999999999,.95
UZ,p95p96,2023,125466106.1,133488045.7,.0294,.0313,.95,.96
UZ,p96p97,2023,146184518.4,156279144,.0342,.0366,.96,.97
UZ,p97p98,2023,181540496.7,195089784.4,.0425,.0457,.97,.98
UZ,p98p99,2023,246379483.4,266222547.5,.0577,.0623,.98,.99
UZ,p99.1p99.2,2023,325131554.8,353026706,.0076,.0083,.991,.992
UZ,p99.2p99.3,2023,349629410.9,379811431.4,.0082,.0089,.992,.993
UZ,p99.3p99.4,2023,379024165.8,411954485.8,.0089,.0096,.993,.9940000000000001
UZ,p99.4p99.5,2023,417681733,454128117,.0098,.0106,.9940000000000001,.995
UZ,p99.5p99.6,2023,470706760.5,512052346,.011,.012,.995,.996
UZ,p99.6p99.7,2023,543434233.9,591504976.9,.0127,.0139,.996,.997
UZ,p99.7p99.8,2023,659267587.7,717840471.2,.0154,.0168,.997,.998
UZ,p99.8p99.9,2023,904550136.6,985163818.7,.0212,.0231,.998,.9990000000000001
UZ,p99.9p100,2023,2179644742.2,2373333347.8,.051,.0556,.9990000000000001,1
UZ,p99p99.1,2023,304209656.6,330068120,.0071,.0077,.99,.991
UZ,p9p10,2023,10712347.9,3673850.5,.0025,.0009,.09,.1
