country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
VC,p0p1,2023,0,0,0,0,0,.01
VC,p10p11,2023,4739.900000000001,2281.5,.0013,.0006,.1,.11
VC,p11p12,2023,5448.700000000001,2768.5,.0015,.0007,.11,.12
VC,p12p13,2023,6371.1,3267.3,.0017,.0009,.12,.13
VC,p13p14,2023,7919.6,3777.4,.0021,.001,.13,.14
VC,p14p15,2023,8431,4296.900000000001,.0023,.0012,.14,.15
VC,p15p16,2023,9942.800000000001,4824.8,.0027,.0013,.15,.16
VC,p16p17,2023,10369.4,5361.3,.0028,.0015,.16,.17
VC,p17p18,2023,10905.5,5905.1,.003,.0016,.17,.18
VC,p18p19,2023,11297.4,6455.6,.0031,.0017,.18,.19
VC,p19p20,2023,11310.8,7013,.0031,.0019,.19,.2
VC,p1p2,2023,0,0,0,0,.01,.02
VC,p20p21,2023,11351.8,7293.6,.0031,.002,.2,.21
VC,p21p22,2023,11495.4,7877.400000000001,.0031,.0021,.21,.22
VC,p22p23,2023,11518.8,8462.5,.0031,.0023,.22,.23
VC,p23p24,2023,12072.4,9047.800000000001,.0033,.0025,.23,.24
VC,p24p25,2023,12124.6,9633.6,.0033,.0026,.24,.25
VC,p25p26,2023,12269.6,10220,.0033,.0028,.25,.26
VC,p26p27,2023,12430.2,10806,.0034,.0029,.26,.27
VC,p27p28,2023,12945.1,11392,.0035,.0031,.27,.28
VC,p28p29,2023,13518.2,11978,.0037,.0032,.28,.29
VC,p29p30,2023,14093.6,12562.9,.0038,.0034,.29,.3
VC,p2p3,2023,0,0,0,0,.02,.03
VC,p30p31,2023,14670.3,13147.6,.004,.0036,.3,.31
VC,p31p32,2023,15247.5,13730.9,.0041,.0037,.31,.32
VC,p32p33,2023,15823.4,14313.4,.0043,.0039,.32,.33
VC,p33p34,2023,16397.5,14894.6,.0044,.004,.33,.34
VC,p34p35,2023,16971.8,15474.4,.0046,.0042,.34,.35
VC,p35p36,2023,17547.1,16052.3,.0048,.0043,.35,.36
VC,p36p37,2023,18115.4,16628.8,.0049,.0045,.36,.37
VC,p37p38,2023,18677.9,17202.9,.0051,.0047,.37,.38
VC,p38p39,2023,19240.8,17775.3,.0052,.0048,.38,.39
VC,p39p40,2023,19799.7,18345.2,.0054,.005,.39,.4
VC,p3p4,2023,0,0,0,0,.03,.04
VC,p40p41,2023,20354.2,18912.5,.0055,.0051,.4,.41
VC,p41p42,2023,20894.7,19477.6,.0057,.0053,.41,.42
VC,p42p43,2023,21433.6,20039.8,.0058,.0054,.42,.43
VC,p43p44,2023,21967,20598.9,.006,.0056,.43,.44
VC,p44p45,2023,22495.1,21155,.0061,.0057,.44,.45
VC,p45p46,2023,23017.5,21708,.0062,.0059,.45,.46
VC,p46p47,2023,23540.6,22257.7,.0064,.006,.46,.47
VC,p47p48,2023,24055.5,22803.4,.0065,.0062,.47,.48
VC,p48p49,2023,24564.9,23345.4,.0067,.0063,.48,.49
VC,p49p50,2023,25073.2,23883.6,.0068,.0065,.49,.5
VC,p4p5,2023,0,0,0,0,.04,.05
VC,p50p51,2023,25572.5,24417.3,.0069,.0066,.5,.51
VC,p51p52,2023,26064.3,24946.3,.0071,.0068,.51,.52
VC,p52p53,2023,26552.2,25470.2,.0072,.0069,.52,.53
VC,p53p54,2023,27029,25989.3,.0073,.007,.53,.54
VC,p54p55,2023,27499.7,26502.7,.0074,.0072,.54,.55
VC,p55p56,2023,27964.9,27010.6,.0076,.0073,.55,.5600000000000001
VC,p56p57,2023,28417.3,27512.1,.0077,.0075,.5600000000000001,.57
VC,p57p58,2023,28865.1,28007.4,.0078,.0076,.57,.58
VC,p58p59,2023,29305,28496.6,.0079,.0077,.58,.59
VC,p59p60,2023,29737,28978.9,.0081,.0078,.59,.6
VC,p5p6,2023,2306.4,146.6,.0006,0,.05,.06
VC,p60p61,2023,30161.2,29454.7,.0082,.008,.6,.61
VC,p61p62,2023,30572.1,29923.6,.0083,.0081,.61,.62
VC,p62p63,2023,30975.9,30385.7,.0084,.0082,.62,.63
VC,p63p64,2023,31373.7,30841.4,.0085,.0084,.63,.64
VC,p64p65,2023,31764.1,31290.1,.0086,.0085,.64,.65
VC,p65p66,2023,32146.3,31733.1,.0087,.0086,.65,.66
VC,p66p67,2023,32520,32169.4,.0088,.0087,.66,.67
VC,p67p68,2023,32890.8,32601.2,.0089,.0088,.67,.68
VC,p68p69,2023,33255.4,33027.6,.009,.0089,.68,.6899999999999999
VC,p69p70,2023,33614.9,33451,.0091,.0091,.6899999999999999,.7
VC,p6p7,2023,3033.4,507.9,.0008,.0001,.06,.07
VC,p70p71,2023,33966.6,33871.7,.0092,.0092,.7,.71
VC,p71p72,2023,34323.1,34292,.0093,.0093,.71,.72
VC,p72p73,2023,34677.6,34713.4,.0094,.0094,.72,.73
VC,p73p74,2023,35038.2,35138.8,.0095,.0095,.73,.74
VC,p74p75,2023,35404.4,35571.6,.0096,.0096,.74,.75
VC,p75p76,2023,35778.5,36015.9,.0097,.0098,.75,.76
VC,p76p77,2023,36168.6,36476.9,.0098,.0099,.76,.77
VC,p77p78,2023,36578.6,36961,.0099,.01,.77,.78
VC,p78p79,2023,37016.7,37477.3,.01,.0102,.78,.79
VC,p79p80,2023,37494.4,38035.3,.0102,.0103,.79,.8
VC,p7p8,2023,4132.8,916.1,.0011,.0002,.07,.08
VC,p80p81,2023,38023,38649.5,.0103,.0105,.8,.8100000000000001
VC,p81p82,2023,38621.3,39336.7,.0105,.0107,.8100000000000001,.82
VC,p82p83,2023,39307.9,40119.2,.0106,.0109,.82,.83
VC,p83p84,2023,40110.2,41026,.0109,.0111,.83,.84
VC,p84p85,2023,41065.9,42094.8,.0111,.0114,.84,.85
VC,p85p86,2023,42225.3,43374.4,.0114,.0117,.85,.86
VC,p86p87,2023,43643.2,44930.60000000001,.0118,.0122,.86,.87
VC,p87p88,2023,45409.4,46850.3,.0123,.0127,.87,.88
VC,p88p89,2023,47627,49249.60000000001,.0129,.0133,.88,.89
VC,p89p90,2023,50470.4,52285.60000000001,.0137,.0142,.89,.9
VC,p8p9,2023,4255.8,1351.8,.0012,.0004,.08,.09
VC,p90p91,2023,54175.8,56168.5,.0147,.0152,.9,.91
VC,p91p92,2023,59003.7,61188.10000000001,.016,.0166,.91,.92
VC,p92p93,2023,65366.60000000001,67766.90000000001,.0177,.0184,.92,.93
VC,p93p94,2023,73878.2,76551.8,.02,.0207,.93,.9399999999999999
VC,p94p95,2023,85421.90000000001,88582.5,.0231,.024,.9399999999999999,.95
VC,p95p96,2023,101519.6,105643.2,.0275,.0286,.95,.96
VC,p96p97,2023,125139.2,131091.9,.0339,.0355,.96,.97
VC,p97p98,2023,163161.2,172246,.0442,.0467,.97,.98
VC,p98p99,2023,236168.4,250381.6,.064,.0678,.98,.99
VC,p99.1p99.2,2023,324537.3,349137.3,.0088,.0095,.991,.992
VC,p99.2p99.3,2023,348255.5,375400.9,.0094,.0102,.992,.993
VC,p99.3p99.4,2023,377805.5,407676.8,.0102,.011,.993,.9940000000000001
VC,p99.4p99.5,2023,416410.1,449027.6,.0113,.0122,.9940000000000001,.995
VC,p99.5p99.6,2023,469321.3,505104.2,.0127,.0137,.995,.996
VC,p99.6p99.7,2023,548093.4,587635.9,.0148,.0159,.996,.997
VC,p99.7p99.8,2023,678456.9,725514.7000000001,.0184,.0197,.997,.998
VC,p99.8p99.9,2023,938129.8,1013505.4,.0254,.0275,.998,.9990000000000001
VC,p99.9p100,2023,2796947.8,3078251.5,.0758,.0834,.9990000000000001,1
VC,p99p99.1,2023,305075.5,327086,.0083,.0089,.99,.991
VC,p9p10,2023,4295.400000000001,1808.4,.0012,.0005,.09,.1
