country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
VE,p0p1,2023,10586.4,2.1,.0012,0,0,.01
VE,p10p11,2023,12848.4,1551.2,.0014,.0002,.1,.11
VE,p11p12,2023,13104.5,2118.5,.0015,.0002,.11,.12
VE,p12p13,2023,13634.2,2555,.0015,.0003,.12,.13
VE,p13p14,2023,14366.4,2928.4,.0016,.0003,.13,.14
VE,p14p15,2023,14428.6,3663.8,.0016,.0004,.14,.15
VE,p15p16,2023,15223.5,4544.400000000001,.0017,.0005,.15,.16
VE,p16p17,2023,15737.7,5459.8,.0018,.0006,.16,.17
VE,p17p18,2023,16050,6518.200000000001,.0018,.0007,.17,.18
VE,p18p19,2023,16858.8,7669.900000000001,.0019,.0009,.18,.19
VE,p19p20,2023,17348.4,9157.9,.0019,.001,.19,.2
VE,p1p2,2023,10590.7,5.4,.0012,0,.01,.02
VE,p20p21,2023,17708.8,10715.5,.002,.0012,.2,.21
VE,p21p22,2023,18532.1,12520.6,.0021,.0014,.21,.22
VE,p22p23,2023,18720.1,14030.6,.0021,.0016,.22,.23
VE,p23p24,2023,19890,15400.2,.0022,.0017,.23,.24
VE,p24p25,2023,20899.7,16595.2,.0023,.0018,.24,.25
VE,p25p26,2023,21943.1,17825.1,.0024,.002,.25,.26
VE,p26p27,2023,23038.5,18998.7,.0026,.0021,.26,.27
VE,p27p28,2023,24349.7,20404.7,.0027,.0023,.27,.28
VE,p28p29,2023,25503,21637.8,.0028,.0024,.28,.29
VE,p29p30,2023,26390.5,22582.1,.0029,.0025,.29,.3
VE,p2p3,2023,10706.4,9.600000000000001,.0012,0,.02,.03
VE,p30p31,2023,27513.2,23778.7,.0031,.0026,.3,.31
VE,p31p32,2023,28677.7,25033.7,.0032,.0028,.31,.32
VE,p32p33,2023,29833.1,26279.7,.0033,.0029,.32,.33
VE,p33p34,2023,30847.6,27371.8,.0034,.003,.33,.34
VE,p34p35,2023,31921,28528.3,.0036,.0032,.34,.35
VE,p35p36,2023,33011.1,29701.9,.0037,.0033,.35,.36
VE,p36p37,2023,34021.8,30864.7,.0038,.0034,.36,.37
VE,p37p38,2023,35025.1,32018.5,.0039,.0036,.37,.38
VE,p38p39,2023,35943.7,33080.2,.004,.0037,.38,.39
VE,p39p40,2023,36832.9,34109.7,.0041,.0038,.39,.4
VE,p3p4,2023,11152.1,13.4,.0012,0,.03,.04
VE,p40p41,2023,37684,35096.8,.0042,.0039,.4,.41
VE,p41p42,2023,38603.2,36170.3,.0043,.004,.41,.42
VE,p42p43,2023,39584.5,37310.7,.0044,.0042,.42,.43
VE,p43p44,2023,40467.7,38345.5,.0045,.0043,.43,.44
VE,p44p45,2023,41319.4,39345.60000000001,.0046,.0044,.44,.45
VE,p45p46,2023,42229.5,40409.3,.0047,.0045,.45,.46
VE,p46p47,2023,43252,41458.7,.0048,.0046,.46,.47
VE,p47p48,2023,44316.8,42554.10000000001,.0049,.0047,.47,.48
VE,p48p49,2023,45480.3,43755.5,.0051,.0049,.48,.49
VE,p49p50,2023,46589,44898.60000000001,.0052,.005,.49,.5
VE,p4p5,2023,11295.1,17.1,.0013,0,.04,.05
VE,p50p51,2023,47590.2,45923.8,.0053,.0051,.5,.51
VE,p51p52,2023,48606.3,46973.10000000001,.0054,.0052,.51,.52
VE,p52p53,2023,49726.3,48136,.0055,.0054,.52,.53
VE,p53p54,2023,50784.2,49230.8,.0057,.0055,.53,.54
VE,p54p55,2023,51925.60000000001,50417.3,.0058,.0056,.54,.55
VE,p55p56,2023,53110.5,51650.9,.0059,.0057,.55,.5600000000000001
VE,p56p57,2023,54221.4,52893.5,.006,.0059,.5600000000000001,.57
VE,p57p58,2023,55294.3,54095.5,.0062,.006,.57,.58
VE,p58p59,2023,56678.4,55636,.0063,.0062,.58,.59
VE,p59p60,2023,57929.10000000001,57031.4,.0064,.0063,.59,.6
VE,p5p6,2023,11536.1,21.4,.0013,0,.05,.06
VE,p60p61,2023,59315.9,58576.2,.0066,.0065,.6,.61
VE,p61p62,2023,60651.8,60067.4,.0067,.0067,.61,.62
VE,p62p63,2023,62134.4,61718.8,.0069,.0069,.62,.63
VE,p63p64,2023,63600.5,63353,.0071,.007,.63,.64
VE,p64p65,2023,64900.5,64807.3,.0072,.0072,.64,.65
VE,p65p66,2023,66227.3,66291.5,.0074,.0074,.65,.66
VE,p66p67,2023,67638.7,67990.10000000001,.0075,.0076,.66,.67
VE,p67p68,2023,69352.2,70019.60000000001,.0077,.0078,.67,.68
VE,p68p69,2023,71043.8,72026.10000000001,.0079,.008,.68,.6899999999999999
VE,p69p70,2023,72705.90000000001,74002.10000000001,.0081,.0082,.6899999999999999,.7
VE,p6p7,2023,11814.6,24.6,.0013,0,.06,.07
VE,p70p71,2023,74271,75873.10000000001,.0083,.0084,.7,.71
VE,p71p72,2023,76282.3,78208,.0085,.0087,.71,.72
VE,p72p73,2023,78338.7,80591.60000000001,.0087,.009,.72,.73
VE,p73p74,2023,80300.20000000001,82872.3,.0089,.0092,.73,.74
VE,p74p75,2023,82493.10000000001,85405.40000000001,.0092,.0095,.74,.75
VE,p75p76,2023,84904,88177.3,.0094,.0098,.75,.76
VE,p76p77,2023,87837.20000000001,91168.90000000001,.0098,.0101,.76,.77
VE,p77p78,2023,90803,94197.40000000001,.0101,.0105,.77,.78
VE,p78p79,2023,94219.40000000001,97720.3,.0105,.0109,.78,.79
VE,p79p80,2023,97921.70000000001,101557.1,.0109,.0113,.79,.8
VE,p7p8,2023,11980.7,35.4,.0013,0,.07,.08
VE,p80p81,2023,101972.2,105779.1,.0113,.0118,.8,.8100000000000001
VE,p81p82,2023,106372.5,110342.2,.0118,.0123,.8100000000000001,.82
VE,p82p83,2023,111187.4,115358.5,.0124,.0128,.82,.83
VE,p83p84,2023,116949.9,121409.6,.013,.0135,.83,.84
VE,p84p85,2023,123268.8,128068.2,.0137,.0143,.84,.85
VE,p85p86,2023,130300.2,135505,.0145,.0151,.85,.86
VE,p86p87,2023,137013.9,143061.9,.0152,.0159,.86,.87
VE,p87p88,2023,145256.4,152286.7,.0162,.0169,.87,.88
VE,p88p89,2023,154497.3,162602.6,.0172,.0181,.88,.89
VE,p89p90,2023,164178.2,173402.2,.0183,.0193,.89,.9
VE,p8p9,2023,12138.2,445.1,.0014,0,.08,.09
VE,p90p91,2023,172242,182441.7,.0192,.0203,.9,.91
VE,p91p92,2023,180053.5,190769,.02,.0212,.91,.92
VE,p92p93,2023,187941.9,199140.9,.0209,.0222,.92,.93
VE,p93p94,2023,197268.3,209029.9,.022,.0233,.93,.9399999999999999
VE,p94p95,2023,212097.2,224816,.0236,.025,.9399999999999999,.95
VE,p95p96,2023,255975.9,271830.6,.0285,.0302,.95,.96
VE,p96p97,2023,342340.1,362452.6,.0381,.0403,.96,.97
VE,p97p98,2023,430214.5,453309,.0479,.0504,.97,.98
VE,p98p99,2023,587213.8,615615,.0653,.0685,.98,.99
VE,p99.1p99.2,2023,935129.9,976457.3,.0104,.0109,.991,.992
VE,p99.2p99.3,2023,994266.1000000001,1039588.1,.0111,.0116,.992,.993
VE,p99.3p99.4,2023,1043499.6,1092410.4,.0116,.0122,.993,.9940000000000001
VE,p99.4p99.5,2023,1083540.1,1135741.1,.0121,.0126,.9940000000000001,.995
VE,p99.5p99.6,2023,1117786.4,1172946.8,.0124,.0131,.995,.996
VE,p99.6p99.7,2023,1152565.6,1210736.3,.0128,.0135,.996,.997
VE,p99.7p99.8,2023,1246928.2,1311424.9,.0139,.0146,.997,.998
VE,p99.8p99.9,2023,1763264.7,1857447.9,.0196,.0207,.998,.9990000000000001
VE,p99.9p100,2023,8551522.4,9042847.700000001,.0952,.1006,.9990000000000001,1
VE,p99p99.1,2023,866400.4,903560.5,.0096,.0101,.99,.991
VE,p9p10,2023,12403.9,863.5,.0014,.0001,.09,.1
