country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
VG,p0p1,2023,0,0,0,0,0,.01
VG,p10p11,2023,7271.700000000001,3500,.0013,.0006,.1,.11
VG,p11p12,2023,8358.700000000001,4246.7,.0015,.0007,.11,.12
VG,p12p13,2023,9773.4,5012.6,.0017,.0009,.12,.13
VG,p13p14,2023,12149.3,5794.8,.0021,.001,.13,.14
VG,p14p15,2023,12934.1,6591.5,.0023,.0012,.14,.15
VG,p15p16,2023,15253.6,7402,.0027,.0013,.15,.16
VG,p16p17,2023,15907.5,8224.6,.0028,.0015,.16,.17
VG,p17p18,2023,16729.5,9058.4,.003,.0016,.17,.18
VG,p18p19,2023,17331,9903.700000000001,.0031,.0017,.18,.19
VG,p19p20,2023,17351.3,10758.1,.0031,.0019,.19,.2
VG,p1p2,2023,0,0,0,0,.01,.02
VG,p20p21,2023,17413.7,11188.9,.0031,.002,.2,.21
VG,p21p22,2023,17634.8,12084.8,.0031,.0021,.21,.22
VG,p22p23,2023,17670.6,12981.7,.0031,.0023,.22,.23
VG,p23p24,2023,18520.3,13880,.0033,.0025,.23,.24
VG,p24p25,2023,18600,14779,.0033,.0026,.24,.25
VG,p25p26,2023,18823.1,15677.9,.0033,.0028,.25,.26
VG,p26p27,2023,19068.5,16577.6,.0034,.0029,.26,.27
VG,p27p28,2023,19859.1,17476.2,.0035,.0031,.27,.28
VG,p28p29,2023,20737.8,18374.8,.0037,.0032,.28,.29
VG,p29p30,2023,21620.9,19272.7,.0038,.0034,.29,.3
VG,p2p3,2023,0,0,0,0,.02,.03
VG,p30p31,2023,22504.7,20169.3,.004,.0036,.3,.31
VG,p31p32,2023,23391.1,21064.2,.0041,.0037,.31,.32
VG,p32p33,2023,24274.6,21957.8,.0043,.0039,.32,.33
VG,p33p34,2023,25155,22849.3,.0044,.004,.33,.34
VG,p34p35,2023,26036,23738.8,.0046,.0042,.34,.35
VG,p35p36,2023,26918.1,24625.3,.0048,.0043,.35,.36
VG,p36p37,2023,27790.4,25509.4,.0049,.0045,.36,.37
VG,p37p38,2023,28653.2,26390.8,.0051,.0047,.37,.38
VG,p38p39,2023,29516.8,27268.5,.0052,.0048,.38,.39
VG,p39p40,2023,30374.5,28142.5,.0054,.005,.39,.4
VG,p3p4,2023,0,0,0,0,.03,.04
VG,p40p41,2023,31224.9,29013.4,.0055,.0051,.4,.41
VG,p41p42,2023,32054.3,29880,.0057,.0053,.41,.42
VG,p42p43,2023,32880.3,30742.5,.0058,.0054,.42,.43
VG,p43p44,2023,33698.9,31599.9,.006,.0056,.43,.44
VG,p44p45,2023,34509.5,32453.6,.0061,.0057,.44,.45
VG,p45p46,2023,35310.2,33301.6,.0062,.0059,.45,.46
VG,p46p47,2023,36112.9,34144.5,.0064,.006,.46,.47
VG,p47p48,2023,36902.9,34982.4,.0065,.0062,.47,.48
VG,p48p49,2023,37684.3,35813.5,.0067,.0063,.48,.49
VG,p49p50,2023,38464.1,36639.2,.0068,.0065,.49,.5
VG,p4p5,2023,0,0,0,0,.04,.05
VG,p50p51,2023,39230.1,37457.5,.0069,.0066,.5,.51
VG,p51p52,2023,39984.60000000001,38269.4,.0071,.0068,.51,.52
VG,p52p53,2023,40733,39073.5,.0072,.0069,.52,.53
VG,p53p54,2023,41464.5,39869.5,.0073,.007,.53,.54
VG,p54p55,2023,42186.9,40657,.0074,.0072,.54,.55
VG,p55p56,2023,42899.9,41435.8,.0076,.0073,.55,.5600000000000001
VG,p56p57,2023,43594.60000000001,42205.5,.0077,.0075,.5600000000000001,.57
VG,p57p58,2023,44280.9,42965.7,.0078,.0076,.57,.58
VG,p58p59,2023,44956,43715.4,.0079,.0077,.58,.59
VG,p59p60,2023,45618.3,44455.7,.0081,.0078,.59,.6
VG,p5p6,2023,3537.8,224.8,.0006,0,.05,.06
VG,p60p61,2023,46269.5,45185.60000000001,.0082,.008,.6,.61
VG,p61p62,2023,46899.8,45904.9,.0083,.0081,.61,.62
VG,p62p63,2023,47519.5,46614.2,.0084,.0082,.62,.63
VG,p63p64,2023,48129.9,47313,.0085,.0084,.63,.64
VG,p64p65,2023,48727.7,48001.3,.0086,.0085,.64,.65
VG,p65p66,2023,49314.8,48680.5,.0087,.0086,.65,.66
VG,p66p67,2023,49888,49350.5,.0088,.0087,.66,.67
VG,p67p68,2023,50457.10000000001,50012.2,.0089,.0088,.67,.68
VG,p68p69,2023,51016.5,50667.10000000001,.009,.0089,.68,.6899999999999999
VG,p69p70,2023,51567.10000000001,51316.2,.0091,.0091,.6899999999999999,.7
VG,p6p7,2023,4653.8,779.1,.0008,.0001,.06,.07
VG,p70p71,2023,52107.5,51961.7,.0092,.0092,.7,.71
VG,p71p72,2023,52654.4,52606.4,.0093,.0093,.71,.72
VG,p72p73,2023,53197.2,53252.60000000001,.0094,.0094,.72,.73
VG,p73p74,2023,53751.8,53905.8,.0095,.0095,.73,.74
VG,p74p75,2023,54312.5,54569.4,.0096,.0096,.74,.75
VG,p75p76,2023,54886.7,55251,.0097,.0098,.75,.76
VG,p76p77,2023,55485.3,55958.2,.0098,.0099,.76,.77
VG,p77p78,2023,56114.5,56700.9,.0099,.01,.77,.78
VG,p78p79,2023,56785.9,57492.5,.01,.0102,.78,.79
VG,p79p80,2023,57519.10000000001,58349.2,.0102,.0103,.79,.8
VG,p7p8,2023,6339.6,1405.3,.0011,.0002,.07,.08
VG,p80p81,2023,58330,59291.10000000001,.0103,.0105,.8,.8100000000000001
VG,p81p82,2023,59248.5,60345.3,.0105,.0107,.8100000000000001,.82
VG,p82p83,2023,60300.8,61545.7,.0106,.0109,.82,.83
VG,p83p84,2023,61531.5,62936.9,.0109,.0111,.83,.84
VG,p84p85,2023,62998.3,64576.5,.0111,.0114,.84,.85
VG,p85p86,2023,64776.60000000001,66539.40000000001,.0114,.0117,.85,.86
VG,p86p87,2023,66951.3,68926.8,.0118,.0122,.86,.87
VG,p87p88,2023,69661.3,71871.8,.0123,.0127,.87,.88
VG,p88p89,2023,73063.2,75552.3,.0129,.0133,.88,.89
VG,p89p90,2023,77425.3,80209.8,.0137,.0142,.89,.9
VG,p8p9,2023,6528.700000000001,2073.7,.0012,.0004,.08,.09
VG,p90p91,2023,83109.60000000001,86166.60000000001,.0147,.0152,.9,.91
VG,p91p92,2023,90515.8,93866.90000000001,.016,.0166,.91,.92
VG,p92p93,2023,100277,103959.1,.0177,.0184,.92,.93
VG,p93p94,2023,113334.6,117436.1,.02,.0207,.93,.9399999999999999
VG,p94p95,2023,131043,135891.9,.0231,.024,.9399999999999999,.95
VG,p95p96,2023,155738.5,162064.3,.0275,.0286,.95,.96
VG,p96p97,2023,191972.5,201104.3,.0339,.0355,.96,.97
VG,p97p98,2023,250301,264237.5,.0442,.0467,.97,.98
VG,p98p99,2023,362299.1,384103.5,.064,.0678,.98,.99
VG,p99.1p99.2,2023,497863.5,535601.7000000001,.0088,.0095,.991,.992
VG,p99.2p99.3,2023,534248.9,575891.1,.0094,.0102,.992,.993
VG,p99.3p99.4,2023,579580.8,625406.4,.0102,.011,.993,.9940000000000001
VG,p99.4p99.5,2023,638803,688840.6000000001,.0113,.0122,.9940000000000001,.995
VG,p99.5p99.6,2023,719972.5,774866.2000000001,.0127,.0137,.995,.996
VG,p99.6p99.7,2023,840814.5,901475.7000000001,.0148,.0159,.996,.997
VG,p99.7p99.8,2023,1040801.9,1112991.6,.0184,.0197,.997,.998
VG,p99.8p99.9,2023,1439158.1,1554790.1,.0254,.0275,.998,.9990000000000001
VG,p99.9p100,2023,4290718.600000001,4722259,.0758,.0834,.9990000000000001,1
VG,p99p99.1,2023,468007.7,501773.5,.0083,.0089,.99,.991
VG,p9p10,2023,6589.400000000001,2774.2,.0012,.0005,.09,.1
