country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
VN,p0p1,2023,7665118.7,0,.0006,0,0,.01
VN,p10p11,2023,24709093.2,12615609.6,.002,.001,.1,.11
VN,p11p12,2023,25858749.8,14909356.4,.0021,.0012,.11,.12
VN,p12p13,2023,27017301.2,17203103.2,.0022,.0014,.12,.13
VN,p13p14,2023,28217361.9,19496851.5,.0023,.0016,.13,.14
VN,p14p15,2023,29567152.2,21790599.8,.0024,.0018,.14,.15
VN,p15p16,2023,30699019.1,24084346.6,.0025,.0019,.15,.16
VN,p16p17,2023,31812355.2,26378093.4,.0026,.0021,.16,.17
VN,p17p18,2023,32956081.9,28671841.6,.0027,.0023,.17,.18
VN,p18p19,2023,34159848.8,30965589.9,.0027,.0025,.18,.19
VN,p19p20,2023,35391041.3,33259335.3,.0028,.0027,.19,.2
VN,p1p2,2023,9489299.9,0,.0008,0,.01,.02
VN,p20p21,2023,36637058.6,34406209.4,.0029,.0028,.2,.21
VN,p21p22,2023,37797833.7,35578080,.003,.0029,.21,.22
VN,p22p23,2023,38894121.4,36681991.4,.0031,.0029,.22,.23
VN,p23p24,2023,39962983.3,37755778.5,.0032,.003,.23,.24
VN,p24p25,2023,41033327.7,38828514.6,.0033,.0031,.24,.25
VN,p25p26,2023,42161488.5,39959469.5,.0034,.0032,.25,.26
VN,p26p27,2023,43271118.40000001,41032492.2,.0035,.0033,.26,.27
VN,p27p28,2023,44565316,42291481.2,.0036,.0034,.27,.28
VN,p28p29,2023,45689029.3,43374334,.0037,.0035,.28,.29
VN,p29p30,2023,46943200.2,44587673.2,.0038,.0036,.29,.3
VN,p2p3,2023,11567724.8,0,.0009,0,.02,.03
VN,p30p31,2023,48121765,45721957.90000001,.0039,.0037,.3,.31
VN,p31p32,2023,49341097.8,46925655.3,.004,.0038,.31,.32
VN,p32p33,2023,50736844.7,48310014.40000001,.0041,.0039,.32,.33
VN,p33p34,2023,52037713.40000001,49595360.6,.0042,.004,.33,.34
VN,p34p35,2023,53267423.5,50808474,.0043,.0041,.34,.35
VN,p35p36,2023,54490462.40000001,52012762.1,.0044,.0042,.35,.36
VN,p36p37,2023,55863231,53342822.8,.0045,.0043,.36,.37
VN,p37p38,2023,57257495.40000001,54692485.7,.0046,.0044,.37,.38
VN,p38p39,2023,58749603,56143211.40000001,.0047,.0045,.38,.39
VN,p39p40,2023,60028975.8,57374207.1,.0048,.0046,.39,.4
VN,p3p4,2023,13531258.3,0,.0011,0,.03,.04
VN,p40p41,2023,61386919.7,58685742.7,.0049,.0047,.4,.41
VN,p41p42,2023,62821952.1,60097831.6,.0051,.0048,.41,.42
VN,p42p43,2023,64144316.6,61395515.40000001,.0052,.0049,.42,.43
VN,p43p44,2023,65565265.5,62795373.8,.0053,.005,.43,.44
VN,p44p45,2023,67192278,64405366.90000001,.0054,.0052,.44,.45
VN,p45p46,2023,68708105,65902993.2,.0055,.0053,.45,.46
VN,p46p47,2023,70019351,67257630.5,.0056,.0054,.46,.47
VN,p47p48,2023,71602630.60000001,68889692.60000001,.0058,.0055,.47,.48
VN,p48p49,2023,73093996.90000001,70429737.3,.0059,.0057,.48,.49
VN,p49p50,2023,74622425,72007457.60000001,.006,.0058,.49,.5
VN,p4p5,2023,15368781.7,0,.0012,0,.04,.05
VN,p50p51,2023,76393978.40000001,73834893.3,.0061,.0059,.5,.51
VN,p51p52,2023,78009131,75517365.3,.0063,.0061,.51,.52
VN,p52p53,2023,79536076.60000001,77111514.40000001,.0064,.0062,.52,.53
VN,p53p54,2023,81283910.5,78933199.7,.0065,.0063,.53,.54
VN,p54p55,2023,83006542.30000001,80729254.5,.0067,.0065,.54,.55
VN,p55p56,2023,84671357.80000001,82468216.7,.0068,.0066,.55,.5600000000000001
VN,p56p57,2023,86634891.2,84506377.60000001,.007,.0068,.5600000000000001,.57
VN,p57p58,2023,88636969,86585596,.0071,.007,.57,.58
VN,p58p59,2023,90634599.30000001,88661971.10000001,.0073,.0071,.58,.59
VN,p59p60,2023,92801972.5,90911830.10000001,.0075,.0073,.59,.6
VN,p5p6,2023,17083259.9,1146873.4,.0014,.0001,.05,.06
VN,p60p61,2023,94703242.2,92891682.40000001,.0076,.0075,.6,.61
VN,p61p62,2023,97087797.5,95380671,.0078,.0077,.61,.62
VN,p62p63,2023,99487177.60000001,97888555.30000001,.008,.0079,.62,.63
VN,p63p64,2023,101950304,100464268.5,.0082,.0081,.63,.64
VN,p64p65,2023,104296315.1,102922356.8,.0084,.0083,.64,.65
VN,p65p66,2023,106787608.4,105532468,.0086,.0085,.65,.66
VN,p66p67,2023,109377486,108190087.7,.0088,.0087,.66,.67
VN,p67p68,2023,112365407.2,111260321,.009,.0089,.67,.68
VN,p68p69,2023,115275498.7,114254751.3,.0093,.0092,.68,.6899999999999999
VN,p69p70,2023,118531747.3,117609538,.0095,.0095,.6899999999999999,.7
VN,p6p7,2023,18648008.6,3440620.6,.0015,.0003,.06,.07
VN,p70p71,2023,121760570.2,120940755.7,.0098,.0097,.7,.71
VN,p71p72,2023,125109473.2,124403647,.0101,.01,.71,.72
VN,p72p73,2023,128575491.5,127989537.1,.0103,.0103,.72,.73
VN,p73p74,2023,131704988.8,131232536.2,.0106,.0106,.73,.74
VN,p74p75,2023,135405978.8,135070203.3,.0109,.0109,.74,.75
VN,p75p76,2023,139455349.6,139270925.3,.0112,.0112,.75,.76
VN,p76p77,2023,143608493.4,143695384.7,.0115,.0116,.76,.77
VN,p77p78,2023,147416962.6,147766378.9,.0119,.0119,.77,.78
VN,p78p79,2023,151971856.2,152615010.4,.0122,.0123,.78,.79
VN,p79p80,2023,156220619.4,157150400.4,.0126,.0126,.79,.8
VN,p7p8,2023,20326907.5,5734368.100000001,.0016,.0005,.07,.08
VN,p80p81,2023,161332181,162586044.3,.013,.0131,.8,.8100000000000001
VN,p81p82,2023,166126493.7,167703304.4,.0134,.0135,.8100000000000001,.82
VN,p82p83,2023,170780712.9,172679706.4,.0137,.0139,.82,.83
VN,p83p84,2023,176276234.6,178538040.1,.0142,.0144,.83,.84
VN,p84p85,2023,183115987.3,185804177.3,.0147,.0149,.84,.85
VN,p85p86,2023,191203239.8,194381085.7,.0154,.0156,.85,.86
VN,p86p87,2023,198804241.6,202129871.7,.016,.0163,.86,.87
VN,p87p88,2023,207808402.7,211361059.7,.0167,.017,.87,.88
VN,p88p89,2023,218046350.6,221904489.7,.0175,.0178,.88,.89
VN,p89p90,2023,229185641.2,233421718.2,.0184,.0188,.89,.9
VN,p8p9,2023,21810120.2,8028116,.0018,.0006,.08,.09
VN,p90p91,2023,229609998.7,233788606.8,.0185,.0188,.9,.91
VN,p91p92,2023,246280761,251298958,.0198,.0202,.91,.92
VN,p92p93,2023,266063601.4,272147534,.0214,.0219,.92,.93
VN,p93p94,2023,290357602.6,297825724.2,.0233,.0239,.93,.9399999999999999
VN,p94p95,2023,323814759.9,333258090.6,.026,.0268,.9399999999999999,.95
VN,p95p96,2023,366465463.9,378537380.1,.0295,.0304,.95,.96
VN,p96p97,2023,422146165.7,438844367.6,.0339,.0353,.96,.97
VN,p97p98,2023,516723027.2,541037336.9,.0416,.0435,.97,.98
VN,p98p99,2023,697888452.7,736585984.8000001,.0561,.0592,.98,.99
VN,p99.1p99.2,2023,910975009.7,972735960.2,.0073,.0078,.991,.992
VN,p99.2p99.3,2023,974106983.6,1044255945.3,.0078,.0084,.992,.993
VN,p99.3p99.4,2023,1051023162.6,1131223167.7,.0085,.0091,.993,.9940000000000001
VN,p99.4p99.5,2023,1151767290.7,1244813609.6,.0093,.01,.9940000000000001,.995
VN,p99.5p99.6,2023,1289265592.6,1399222978,.0104,.0113,.995,.996
VN,p99.6p99.7,2023,1476061630.1,1608456343.6,.0119,.0129,.996,.997
VN,p99.7p99.8,2023,1779214073.2,1945639856.6,.0143,.0156,.997,.998
VN,p99.8p99.9,2023,2425670772.7,2658729038.5,.0195,.0214,.998,.9990000000000001
VN,p99.9p100,2023,6045635383.200001,6652162883,.0486,.0535,.9990000000000001,1
VN,p99p99.1,2023,856920393.9000001,911879578,.0069,.0073,.99,.991
VN,p9p10,2023,23191042.4,10321863.5,.0019,.0008,.09,.1
