country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
VU,p0p1,2023,0,0,0,0,0,.01
VU,p10p11,2023,260405.7,76639.2,.003,.0009,.1,.11
VU,p11p12,2023,267613,90570.8,.0031,.0011,.11,.12
VU,p12p13,2023,280861.3,104507.5,.0033,.0012,.12,.13
VU,p13p14,2023,291433.3,118444.2,.0034,.0014,.13,.14
VU,p14p15,2023,294546.3,132375.8,.0034,.0015,.14,.15
VU,p15p16,2023,294823.7,146307.4,.0034,.0017,.15,.16
VU,p16p17,2023,298465.9,160249.3,.0035,.0019,.16,.17
VU,p17p18,2023,299596,174175.7,.0035,.002,.17,.18
VU,p18p19,2023,315865,188112.5,.0037,.0022,.18,.19
VU,p19p20,2023,316373.5,202049.2,.0037,.0023,.19,.2
VU,p1p2,2023,0,0,0,0,.01,.02
VU,p20p21,2023,318377,209015,.0037,.0024,.2,.21
VU,p21p22,2023,322527.7,221523.6,.0037,.0026,.21,.22
VU,p22p23,2023,329133.9,234201.8,.0038,.0027,.22,.23
VU,p23p24,2023,333531.2,247049.5,.0039,.0029,.23,.24
VU,p24p25,2023,346209.3,260061.5,.004,.003,.24,.25
VU,p25p26,2023,350560.4,273207.2,.0041,.0032,.25,.26
VU,p26p27,2023,351967.9,286496.6,.0041,.0033,.26,.27
VU,p27p28,2023,357300.2,299909.4,.0041,.0035,.27,.28
VU,p28p29,2023,357716.3,313430,.0042,.0036,.28,.29
VU,p29p30,2023,359077.6,327048.3,.0042,.0038,.29,.3
VU,p2p3,2023,0,0,0,0,.02,.03
VU,p30p31,2023,372115.3,340753.8,.0043,.004,.3,.31
VU,p31p32,2023,385291.8,354521,.0045,.0041,.31,.32
VU,p32p33,2023,398535,368344.7,.0046,.0043,.32,.33
VU,p33p34,2023,411798.8,382204.4,.0048,.0044,.33,.34
VU,p34p35,2023,425149.9,396074.4,.0049,.0046,.34,.35
VU,p35p36,2023,438567.8,409944.3,.0051,.0048,.35,.36
VU,p36p37,2023,451857.3,423798.9,.0052,.0049,.36,.37
VU,p37p38,2023,465002.9,437607.2,.0054,.0051,.37,.38
VU,p38p39,2023,478163.9,451353.8,.0055,.0052,.38,.39
VU,p39p40,2023,491196.5,465018.3,.0057,.0054,.39,.4
VU,p3p4,2023,0,0,0,0,.03,.04
VU,p40p41,2023,504085.3,478580,.0058,.0056,.4,.41
VU,p41p42,2023,516573.4,492013.3,.006,.0057,.41,.42
VU,p42p43,2023,528922.8,505297.6,.0061,.0059,.42,.43
VU,p43p44,2023,541061.6,518407.3,.0063,.006,.43,.44
VU,p44p45,2023,552938.4,531316.6,.0064,.0062,.44,.45
VU,p45p46,2023,564537.7000000001,544015.4,.0066,.0063,.45,.46
VU,p46p47,2023,576008.7000000001,556467.5,.0067,.0065,.46,.47
VU,p47p48,2023,587109.8,568657.6,.0068,.0066,.47,.48
VU,p48p49,2023,597871.9,580570.4,.0069,.0067,.48,.49
VU,p49p50,2023,608438.7000000001,592180,.0071,.0069,.49,.5
VU,p4p5,2023,0,0,0,0,.04,.05
VU,p50p51,2023,618563.8,603476.3,.0072,.007,.5,.51
VU,p51p52,2023,628303.5,614438.7000000001,.0073,.0071,.51,.52
VU,p52p53,2023,637724.8,625067.2000000001,.0074,.0073,.52,.53
VU,p53p54,2023,646673.5,635336.1000000001,.0075,.0074,.53,.54
VU,p54p55,2023,655262.6000000001,645240.3,.0076,.0075,.54,.55
VU,p55p56,2023,663461.3,654769.5,.0077,.0076,.55,.5600000000000001
VU,p56p57,2023,671151.4,663918.5,.0078,.0077,.5600000000000001,.57
VU,p57p58,2023,678492.2000000001,672661.7000000001,.0079,.0078,.57,.58
VU,p58p59,2023,685416.9,681014.5,.008,.0079,.58,.59
VU,p59p60,2023,691905,688940.9,.008,.008,.59,.6
VU,p5p6,2023,229650.4,6965.8,.0027,.0001,.05,.06
VU,p60p61,2023,697976.9,696466.6000000001,.0081,.0081,.6,.61
VU,p61p62,2023,703488.9,703560.9,.0082,.0082,.61,.62
VU,p62p63,2023,708605.4,710233.9,.0082,.0082,.62,.63
VU,p63p64,2023,713331.5,716485.6000000001,.0083,.0083,.63,.64
VU,p64p65,2023,717631.2000000001,722321.3,.0083,.0084,.64,.65
VU,p65p66,2023,721519.9,727740.8,.0084,.0084,.65,.66
VU,p66p67,2023,724966.8,732769.9,.0084,.0085,.66,.67
VU,p67p68,2023,728115.8,737413.8,.0084,.0086,.67,.68
VU,p68p69,2023,730905.2000000001,741703.2000000001,.0085,.0086,.68,.6899999999999999
VU,p69p70,2023,733360.7000000001,745669,.0085,.0087,.6899999999999999,.7
VU,p6p7,2023,231890.1,20902.5,.0027,.0002,.06,.07
VU,p70p71,2023,735446.3,749357.4,.0085,.0087,.7,.71
VU,p71p72,2023,737470.3,752830,.0086,.0087,.71,.72
VU,p72p73,2023,739273.4,756153.7000000001,.0086,.0088,.72,.73
VU,p73p74,2023,741122.7000000001,759431.1000000001,.0086,.0088,.73,.74
VU,p74p75,2023,743013.2000000001,762780.4,.0086,.0089,.74,.75
VU,p75p76,2023,745088.5,766355.8,.0086,.0089,.75,.76
VU,p76p77,2023,747580,770362.6000000001,.0087,.0089,.76,.77
VU,p77p78,2023,750693,775052.7000000001,.0087,.009,.77,.78
VU,p78p79,2023,754715.3,780744.6000000001,.0088,.0091,.78,.79
VU,p79p80,2023,760119.4,787859.3,.0088,.0091,.79,.8
VU,p7p8,2023,238450.1,34839.3,.0028,.0004,.07,.08
VU,p80p81,2023,767311.3,796936.4,.0089,.0092,.8,.8100000000000001
VU,p81p82,2023,777051,808664.3,.009,.0094,.8100000000000001,.82
VU,p82p83,2023,790073.4,823941.7000000001,.0092,.0096,.82,.83
VU,p83p84,2023,807529,843950.4,.0094,.0098,.83,.84
VU,p84p85,2023,830861.3,870216,.0096,.0101,.84,.85
VU,p85p86,2023,862032.7000000001,904772.7000000001,.01,.0105,.85,.86
VU,p86p87,2023,903408.8,950302.1000000001,.0105,.011,.86,.87
VU,p87p88,2023,958423.7000000001,1010364.1,.0111,.0117,.87,.88
VU,p88p89,2023,1031315.5,1089666.9,.012,.0126,.88,.89
VU,p89p90,2023,1128441.1,1194469.7,.0131,.0139,.89,.9
VU,p8p9,2023,238491.2,48765.7,.0028,.0006,.08,.09
VU,p90p91,2023,1258243.2,1332920.1,.0146,.0155,.9,.91
VU,p91p92,2023,1430559.4,1515815.9,.0166,.0176,.91,.92
VU,p92p93,2023,1659714,1758113.6,.0193,.0204,.92,.93
VU,p93p94,2023,1965602.9,2081075.4,.0228,.0241,.93,.9399999999999999
VU,p94p95,2023,2374039.5,2515469.3,.0275,.0292,.9399999999999999,.95
VU,p95p96,2023,2921848.6,3106719.6,.0339,.036,.95,.96
VU,p96p97,2023,3665200.8,3923130.5,.0425,.0455,.96,.97
VU,p97p98,2023,4699041.100000001,5068667.5,.0545,.0588,.97,.98
VU,p98p99,2023,6191315.300000001,6706813.800000001,.0718,.0778,.98,.99
VU,p99.1p99.2,2023,7419292.5,8155414.4,.0086,.0095,.991,.992
VU,p99.2p99.3,2023,7678114.800000001,8456764.700000001,.0089,.0098,.992,.993
VU,p99.3p99.4,2023,7994638.600000001,8814532.300000001,.0093,.0102,.993,.9940000000000001
VU,p99.4p99.5,2023,8413812.800000001,9270359.200000001,.0098,.0108,.9940000000000001,.995
VU,p99.5p99.6,2023,9008634.6,9906546.800000001,.0105,.0115,.995,.996
VU,p99.6p99.7,2023,9952946.9,10903295.3,.0115,.0127,.996,.997
VU,p99.7p99.8,2023,11637471.5,12715545.4,.0135,.0148,.997,.998
VU,p99.8p99.9,2023,15125497.1,16696490.4,.0176,.0194,.998,.9990000000000001
VU,p99.9p100,2023,40727753.3,45853428.2,.0473,.0532,.9990000000000001,1
VU,p99p99.1,2023,7200237.2,7887762.9,.0084,.0092,.99,.991
VU,p9p10,2023,255535.8,62707.60000000001,.003,.0007,.09,.1
