country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
WS,p0p1,2023,0,0,0,0,0,.01
WS,p10p11,2023,7115.700000000001,2094.2,.003,.0009,.1,.11
WS,p11p12,2023,7313.5,2474.9,.0031,.0011,.11,.12
WS,p12p13,2023,7674.8,2855.8,.0033,.0012,.12,.13
WS,p13p14,2023,7963.5,3236.6,.0034,.0014,.13,.14
WS,p14p15,2023,8048.700000000001,3617.3,.0034,.0015,.14,.15
WS,p15p16,2023,8056.3,3998,.0034,.0017,.15,.16
WS,p16p17,2023,8155.900000000001,4378.8,.0035,.0019,.16,.17
WS,p17p18,2023,8186.6,4759.6,.0035,.002,.17,.18
WS,p18p19,2023,8631.300000000001,5140.3,.0037,.0022,.18,.19
WS,p19p20,2023,8645.300000000001,5521.200000000001,.0037,.0023,.19,.2
WS,p1p2,2023,0,0,0,0,.01,.02
WS,p20p21,2023,8699.9,5711.5,.0037,.0024,.2,.21
WS,p21p22,2023,8813.4,6053.3,.0037,.0026,.21,.22
WS,p22p23,2023,8993.9,6399.8,.0038,.0027,.22,.23
WS,p23p24,2023,9114,6750.900000000001,.0039,.0029,.23,.24
WS,p24p25,2023,9460.300000000001,7106.3,.004,.003,.24,.25
WS,p25p26,2023,9579.5,7465.8,.0041,.0032,.25,.26
WS,p26p27,2023,9617.800000000001,7828.8,.0041,.0033,.26,.27
WS,p27p28,2023,9763.5,8195.300000000001,.0041,.0035,.27,.28
WS,p28p29,2023,9774.800000000001,8564.800000000001,.0042,.0036,.28,.29
WS,p29p30,2023,9812,8936.9,.0042,.0038,.29,.3
WS,p2p3,2023,0,0,0,0,.02,.03
WS,p30p31,2023,10168.4,9311.4,.0043,.004,.3,.31
WS,p31p32,2023,10528.7,9687.6,.0045,.0041,.31,.32
WS,p32p33,2023,10890,10065.4,.0046,.0043,.32,.33
WS,p33p34,2023,11252.9,10443.9,.0048,.0044,.33,.34
WS,p34p35,2023,11617.6,10823.1,.0049,.0046,.34,.35
WS,p35p36,2023,11984.3,11202.2,.0051,.0048,.35,.36
WS,p36p37,2023,12347.3,11580.5,.0052,.0049,.36,.37
WS,p37p38,2023,12706.8,11958,.0054,.0051,.37,.38
WS,p38p39,2023,13066.3,12333.8,.0055,.0052,.38,.39
WS,p39p40,2023,13422.5,12707,.0057,.0054,.39,.4
WS,p3p4,2023,0,0,0,0,.03,.04
WS,p40p41,2023,13774.6,13077.6,.0058,.0056,.4,.41
WS,p41p42,2023,14115.7,13444.7,.006,.0057,.41,.42
WS,p42p43,2023,14453.3,13807.7,.0061,.0059,.42,.43
WS,p43p44,2023,14785,14165.9,.0063,.006,.43,.44
WS,p44p45,2023,15109.5,14518.7,.0064,.0062,.44,.45
WS,p45p46,2023,15426.5,14865.7,.0066,.0063,.45,.46
WS,p46p47,2023,15740,15206,.0067,.0065,.46,.47
WS,p47p48,2023,16043.2,15539.1,.0068,.0066,.47,.48
WS,p48p49,2023,16337.5,15864.6,.0069,.0067,.48,.49
WS,p49p50,2023,16626,16181.9,.0071,.0069,.49,.5
WS,p4p5,2023,0,0,0,0,.04,.05
WS,p50p51,2023,16902.8,16490.5,.0072,.007,.5,.51
WS,p51p52,2023,17169.1,16790.1,.0073,.0071,.51,.52
WS,p52p53,2023,17426.4,17080.5,.0074,.0073,.52,.53
WS,p53p54,2023,17670.9,17361.1,.0075,.0074,.53,.54
WS,p54p55,2023,17905.5,17631.8,.0076,.0075,.54,.55
WS,p55p56,2023,18129.8,17892.2,.0077,.0076,.55,.5600000000000001
WS,p56p57,2023,18340,18142,.0078,.0077,.5600000000000001,.57
WS,p57p58,2023,18540.3,18381.2,.0079,.0078,.57,.58
WS,p58p59,2023,18729.6,18609.2,.008,.0079,.58,.59
WS,p59p60,2023,18906.9,18826.1,.008,.008,.59,.6
WS,p5p6,2023,6275.400000000001,190.3,.0027,.0001,.05,.06
WS,p60p61,2023,19072.9,19031.6,.0081,.0081,.6,.61
WS,p61p62,2023,19223.5,19225.3,.0082,.0082,.61,.62
WS,p62p63,2023,19363.4,19407.8,.0082,.0082,.62,.63
WS,p63p64,2023,19492.3,19578.8,.0083,.0083,.63,.64
WS,p64p65,2023,19609.9,19738.1,.0083,.0084,.64,.65
WS,p65p66,2023,19716.2,19886.2,.0084,.0084,.65,.66
WS,p66p67,2023,19810.4,20023.6,.0084,.0085,.66,.67
WS,p67p68,2023,19896.6,20150.5,.0084,.0086,.67,.68
WS,p68p69,2023,19972.8,20267.7,.0085,.0086,.68,.6899999999999999
WS,p69p70,2023,20039.6,20376.1,.0085,.0087,.6899999999999999,.7
WS,p6p7,2023,6336.200000000001,571.2,.0027,.0002,.06,.07
WS,p70p71,2023,20096.7,20476.9,.0085,.0087,.7,.71
WS,p71p72,2023,20151.9,20571.8,.0086,.0087,.71,.72
WS,p72p73,2023,20201.5,20662.6,.0086,.0088,.72,.73
WS,p73p74,2023,20251.8,20752.1,.0086,.0088,.73,.74
WS,p74p75,2023,20303.5,20843.7,.0086,.0089,.74,.75
WS,p75p76,2023,20360.2,20941.4,.0086,.0089,.75,.76
WS,p76p77,2023,20428.3,21050.9,.0087,.0089,.76,.77
WS,p77p78,2023,20513.4,21179,.0087,.009,.77,.78
WS,p78p79,2023,20623.3,21334.6,.0088,.0091,.78,.79
WS,p79p80,2023,20771,21529,.0088,.0091,.79,.8
WS,p7p8,2023,6515.900000000001,951.9000000000001,.0028,.0004,.07,.08
WS,p80p81,2023,20967.5,21777,.0089,.0092,.8,.8100000000000001
WS,p81p82,2023,21233.6,22097.5,.009,.0094,.8100000000000001,.82
