country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
YE,p0p1,2023,34143.2,0,.0004,0,0,.01
YE,p10p11,2023,103456.6,49965.7,.0013,.0006,.1,.11
YE,p11p12,2023,108277.3,59050.4,.0014,.0008,.11,.12
YE,p12p13,2023,112685.3,68135,.0014,.0009,.12,.13
YE,p13p14,2023,117398.1,77219.7,.0015,.001,.13,.14
YE,p14p15,2023,122518.8,86304.40000000001,.0016,.0011,.14,.15
YE,p15p16,2023,127278.5,95389,.0016,.0012,.15,.16
YE,p16p17,2023,131770.9,104473.7,.0017,.0013,.16,.17
YE,p17p18,2023,135799.1,113558.4,.0017,.0014,.17,.18
YE,p18p19,2023,140324.3,122643.1,.0018,.0016,.18,.19
YE,p19p20,2023,145243.5,131727.7,.0018,.0017,.19,.2
YE,p1p2,2023,40136.2,0,.0005,0,.01,.02
YE,p20p21,2023,149918.8,136270.1,.0019,.0017,.2,.21
YE,p21p22,2023,154237.7,140837.8,.002,.0018,.21,.22
YE,p22p23,2023,158537.8,145378.8,.002,.0018,.22,.23
YE,p23p24,2023,163738.3,150818.4,.0021,.0019,.23,.24
YE,p24p25,2023,168624.6,155943.3,.0021,.002,.24,.25
YE,p25p26,2023,173881.4,161433.8,.0022,.0021,.25,.26
YE,p26p27,2023,178852.1,166613.7,.0023,.0021,.26,.27
YE,p27p28,2023,183222.6,171185,.0023,.0022,.27,.28
YE,p28p29,2023,188127.6,176291.2,.0024,.0022,.28,.29
YE,p29p30,2023,193187.5,181541.7,.0025,.0023,.29,.3
YE,p2p3,2023,52736.5,0,.0007,0,.02,.03
YE,p30p31,2023,198402,186951.6,.0025,.0024,.3,.31
YE,p31p32,2023,204085.5,192635,.0026,.0024,.31,.32
YE,p32p33,2023,209323.5,197874.5,.0027,.0025,.32,.33
YE,p33p34,2023,214824.2,203376.9,.0027,.0026,.33,.34
YE,p34p35,2023,219987.1,208542.6,.0028,.0027,.34,.35
YE,p35p36,2023,225333,213884.6,.0029,.0027,.35,.36
YE,p36p37,2023,230191.2,218783.7,.0029,.0028,.36,.37
YE,p37p38,2023,235115,223736.9,.003,.0028,.37,.38
YE,p38p39,2023,240343.6,229002.7,.0031,.0029,.38,.39
YE,p39p40,2023,245169,233863.4,.0031,.003,.39,.4
YE,p3p4,2023,61932.3,0,.0008,0,.03,.04
YE,p40p41,2023,251382.4,240107.2,.0032,.0031,.4,.41
YE,p41p42,2023,257741.2,246538.1,.0033,.0031,.41,.42
YE,p42p43,2023,264020.2,252888.6,.0034,.0032,.42,.43
YE,p43p44,2023,270397.7,259346.5,.0034,.0033,.43,.44
YE,p44p45,2023,277563.1,266589.3,.0035,.0034,.44,.45
YE,p45p46,2023,285159.8,274259.6,.0036,.0035,.45,.46
YE,p46p47,2023,292892.6,282049.2,.0037,.0036,.46,.47
YE,p47p48,2023,300198.6,289412.1,.0038,.0037,.47,.48
YE,p48p49,2023,307401.4,296668.3,.0039,.0038,.48,.49
YE,p49p50,2023,314820,304143.9,.004,.0039,.49,.5
YE,p4p5,2023,70073.10000000001,0,.0009,0,.04,.05
YE,p50p51,2023,321722.7,311099.1,.0041,.004,.5,.51
YE,p51p52,2023,329507.1,318964,.0042,.0041,.51,.52
YE,p52p53,2023,338248,327796.6,.0043,.0042,.52,.53
YE,p53p54,2023,346219.9,335855.1,.0044,.0043,.53,.54
YE,p54p55,2023,354365.4,344101.8,.0045,.0044,.54,.55
YE,p55p56,2023,361980.9,351811.9,.0046,.0045,.55,.5600000000000001
YE,p56p57,2023,370374.8,360338.6,.0047,.0046,.5600000000000001,.57
YE,p57p58,2023,378041.9,368145.7,.0048,.0047,.57,.58
YE,p58p59,2023,386374.9,376624,.0049,.0048,.58,.59
YE,p59p60,2023,396972.9,387388.3,.005,.0049,.59,.6
YE,p5p6,2023,76971.10000000001,4542.3,.001,.0001,.05,.06
YE,p60p61,2023,407795.9,398392.1,.0052,.0051,.6,.61
YE,p61p62,2023,418830,409634.3,.0053,.0052,.61,.62
YE,p62p63,2023,430028.1,421052.6,.0055,.0054,.62,.63
YE,p63p64,2023,441085.6,432348.3,.0056,.0055,.63,.64
YE,p64p65,2023,452293.2,443799.2,.0057,.0056,.64,.65
YE,p65p66,2023,463913.4,455677,.0059,.0058,.65,.66
YE,p66p67,2023,475303.9,467327.8,.006,.0059,.66,.67
YE,p67p68,2023,486914.7,479219,.0062,.0061,.67,.68
YE,p68p69,2023,500776.5,493374.1,.0064,.0063,.68,.6899999999999999
YE,p69p70,2023,514141.1,507046.2,.0065,.0064,.6899999999999999,.7
YE,p6p7,2023,82968.8,13627,.0011,.0002,.06,.07
YE,p70p71,2023,528645.3,521876.1,.0067,.0066,.7,.71
YE,p71p72,2023,542671.2000000001,536196.4,.0069,.0068,.71,.72
YE,p72p73,2023,556744,550578.3,.0071,.007,.72,.73
YE,p73p74,2023,572922.2000000001,567097.4,.0073,.0072,.73,.74
YE,p74p75,2023,592097,586661.6,.0075,.0075,.74,.75
YE,p75p76,2023,613203.8,608197.2000000001,.0078,.0077,.75,.76
YE,p76p77,2023,636730.3,632197,.0081,.008,.76,.77
