country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
ZA,p0p1,2023,17440.4,0,.0012,0,0,.01
ZA,p10p11,2023,26632.3,5569.900000000001,.0018,.0004,.1,.11
ZA,p11p12,2023,27382.8,6582.6,.0018,.0004,.11,.12
ZA,p12p13,2023,28141.2,7595.3,.0019,.0005,.12,.13
ZA,p13p14,2023,28901.4,8608,.0019,.0006,.13,.14
ZA,p14p15,2023,29643.8,9620.700000000001,.002,.0006,.14,.15
ZA,p15p16,2023,30395.2,10633.4,.002,.0007,.15,.16
ZA,p16p17,2023,31041.6,11646.1,.0021,.0008,.16,.17
ZA,p17p18,2023,31772.4,12658.8,.0021,.0008,.17,.18
ZA,p18p19,2023,32524.6,13671.5,.0022,.0009,.18,.19
ZA,p19p20,2023,33276,14684.2,.0022,.001,.19,.2
ZA,p1p2,2023,18292.2,0,.0012,0,.01,.02
ZA,p20p21,2023,34082.4,15190.5,.0023,.001,.2,.21
ZA,p21p22,2023,34856,15786,.0023,.0011,.21,.22
ZA,p22p23,2023,35669.5,16418.4,.0024,.0011,.22,.23
ZA,p23p24,2023,36459.1,17026.9,.0024,.0011,.23,.24
ZA,p24p25,2023,37208.6,17594.4,.0025,.0012,.24,.25
ZA,p25p26,2023,37970.6,18173.4,.0025,.0012,.25,.26
ZA,p26p27,2023,38645.5,18781.1,.0026,.0013,.26,.27
ZA,p27p28,2023,39334.5,19401.3,.0026,.0013,.27,.28
ZA,p28p29,2023,40028.10000000001,20022.6,.0027,.0013,.28,.29
ZA,p29p30,2023,40718,20641.3,.0027,.0014,.29,.3
ZA,p2p3,2023,19290.7,0,.0013,0,.02,.03
ZA,p30p31,2023,41403.60000000001,21252,.0028,.0014,.3,.31
ZA,p31p32,2023,42162,21951.7,.0028,.0015,.31,.32
ZA,p32p33,2023,42897.3,22629,.0029,.0015,.32,.33
ZA,p33p34,2023,43704.60000000001,23375.9,.0029,.0016,.33,.34
ZA,p34p35,2023,44489.8,24100,.003,.0016,.34,.35
ZA,p35p36,2023,45210,24762.9,.003,.0017,.35,.36
ZA,p36p37,2023,45838.60000000001,25415.8,.0031,.0017,.36,.37
ZA,p37p38,2023,46549,26146.8,.0031,.0018,.37,.38
ZA,p38p39,2023,47297.60000000001,26914.3,.0032,.0018,.38,.39
ZA,p39p40,2023,48083.60000000001,27714.7,.0032,.0019,.39,.4
ZA,p3p4,2023,20164.7,0,.0014,0,.03,.04
ZA,p40p41,2023,48986.10000000001,28626.9,.0033,.0019,.4,.41
ZA,p41p42,2023,49861.9,29526.8,.0033,.002,.41,.42
ZA,p42p43,2023,50666.60000000001,30358.4,.0034,.002,.42,.43
ZA,p43p44,2023,51538.8,31254.5,.0035,.0021,.43,.44
ZA,p44p45,2023,52426.2,32164.8,.0035,.0022,.44,.45
ZA,p45p46,2023,53418.5,33175.6,.0036,.0022,.45,.46
ZA,p46p47,2023,54109.3,34235,.0036,.0023,.46,.47
ZA,p47p48,2023,54900.7,35391.9,.0037,.0024,.47,.48
ZA,p48p49,2023,55621.7,36484.6,.0037,.0024,.48,.49
ZA,p49p50,2023,56281.5,37522.1,.0038,.0025,.49,.5
ZA,p4p5,2023,21047.7,0,.0014,0,.04,.05
ZA,p50p51,2023,57023.9,38641.9,.0038,.0026,.5,.51
ZA,p51p52,2023,57987.7,39989.3,.0039,.0027,.51,.52
ZA,p52p53,2023,59028,41417.5,.004,.0028,.52,.53
ZA,p53p54,2023,60058.5,42842.4,.004,.0029,.53,.54
ZA,p54p55,2023,61066.8,44254.3,.0041,.003,.54,.55
ZA,p55p56,2023,62197.8,45791.7,.0042,.0031,.55,.5600000000000001
ZA,p56p57,2023,63607.10000000001,47473.60000000001,.0043,.0032,.5600000000000001,.57
ZA,p57p58,2023,65092.8,49234.60000000001,.0044,.0033,.57,.58
ZA,p58p59,2023,66510.10000000001,50936.8,.0045,.0034,.58,.59
ZA,p59p60,2023,68135.5,52845.3,.0046,.0035,.59,.6
ZA,p5p6,2023,21930.6,506.4,.0015,0,.05,.06
ZA,p60p61,2023,69821.3,54817.4,.0047,.0037,.6,.61
ZA,p61p62,2023,71775.60000000001,57061.3,.0048,.0038,.61,.62
ZA,p62p63,2023,73723.7,59306.5,.0049,.004,.62,.63
ZA,p63p64,2023,75975.90000000001,61853.9,.0051,.0041,.63,.64
ZA,p64p65,2023,78322.3,64501,.0053,.0043,.64,.65
ZA,p65p66,2023,80952.40000000001,67436.40000000001,.0054,.0045,.65,.66
