country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
ZM,p0p1,2023,2124.6,0,.0004,0,0,.01
ZM,p10p11,2023,7157.5,3215.6,.0012,.0006,.1,.11
ZM,p11p12,2023,7518.900000000001,3800.2,.0013,.0007,.11,.12
ZM,p12p13,2023,7880.6,4384.900000000001,.0014,.0008,.12,.13
ZM,p13p14,2023,8248.6,4969.5,.0014,.0009,.13,.14
ZM,p14p15,2023,8618.6,5554.200000000001,.0015,.001,.14,.15
ZM,p15p16,2023,8986.9,6138.8,.0016,.0011,.15,.16
ZM,p16p17,2023,9345.9,6723.5,.0016,.0012,.16,.17
ZM,p17p18,2023,9719.1,7308.1,.0017,.0013,.17,.18
ZM,p18p19,2023,10085.3,7892.8,.0017,.0014,.18,.19
ZM,p19p20,2023,10458.8,8477.4,.0018,.0015,.19,.2
ZM,p1p2,2023,2929.9,0,.0005,0,.01,.02
ZM,p20p21,2023,10839.9,8769.700000000001,.0019,.0015,.2,.21
ZM,p21p22,2023,11202,9121.300000000001,.0019,.0016,.21,.22
ZM,p22p23,2023,11567.2,9475.200000000001,.002,.0016,.22,.23
ZM,p23p24,2023,11948.3,9844.300000000001,.0021,.0017,.23,.24
ZM,p24p25,2023,12333.5,10217,.0021,.0018,.24,.25
ZM,p25p26,2023,12714.3,10584.7,.0022,.0018,.25,.26
ZM,p26p27,2023,13126.8,10970,.0023,.0019,.26,.27
ZM,p27p28,2023,13539.3,11354.9,.0023,.002,.27,.28
ZM,p28p29,2023,13950,11737.1,.0024,.002,.28,.29
ZM,p29p30,2023,14367.7,12126.1,.0025,.0021,.29,.3
ZM,p2p3,2023,3575.8,0,.0006,0,.02,.03
ZM,p30p31,2023,14796.8,12525.4,.0026,.0022,.3,.31
ZM,p31p32,2023,15242.1,12933.2,.0026,.0022,.31,.32
ZM,p32p33,2023,15696.7,13350.2,.0027,.0023,.32,.33
ZM,p33p34,2023,16166.1,13781.6,.0028,.0024,.33,.34
ZM,p34p35,2023,16629.7,14207.4,.0029,.0025,.34,.35
ZM,p35p36,2023,17106.4,14645.9,.003,.0025,.35,.36
ZM,p36p37,2023,17595.2,15102.7,.003,.0026,.36,.37
ZM,p37p38,2023,18090.9,15566,.0031,.0027,.37,.38
ZM,p38p39,2023,18604.9,16047.7,.0032,.0028,.38,.39
ZM,p39p40,2023,19139.6,16548.4,.0033,.0029,.39,.4
ZM,p3p4,2023,4107.400000000001,0,.0007,0,.03,.04
ZM,p40p41,2023,19658.7,17034.3,.0034,.0029,.4,.41
ZM,p41p42,2023,20202.1,17549.6,.0035,.003,.41,.42
ZM,p42p43,2023,20777.2,18096.3,.0036,.0031,.42,.43
ZM,p43p44,2023,21356.4,18647,.0037,.0032,.43,.44
ZM,p44p45,2023,21934.2,19196.9,.0038,.0033,.44,.45
ZM,p45p46,2023,22544.2,19778.9,.0039,.0034,.45,.46
ZM,p46p47,2023,23163.1,20398.1,.004,.0035,.46,.47
ZM,p47p48,2023,23772.3,21009.1,.0041,.0036,.47,.48
ZM,p48p49,2023,24388.5,21628.5,.0042,.0037,.48,.49
ZM,p49p50,2023,25022.6,22266.5,.0043,.0038,.49,.5
ZM,p4p5,2023,4573.7,0,.0008,0,.04,.05
ZM,p50p51,2023,25741.3,22988.4,.0044,.004,.5,.51
ZM,p51p52,2023,26452,23716.2,.0046,.0041,.51,.52
ZM,p52p53,2023,27196.9,24479.8,.0047,.0042,.52,.53
ZM,p53p54,2023,27933.2,25238.1,.0048,.0044,.53,.54
ZM,p54p55,2023,28718.2,26045.8,.005,.0045,.54,.55
ZM,p55p56,2023,29503.1,26857.1,.0051,.0046,.55,.5600000000000001
ZM,p56p57,2023,30338.8,27702.8,.0052,.0048,.5600000000000001,.57
ZM,p57p58,2023,31197.7,28574.9,.0054,.0049,.57,.58
ZM,p58p59,2023,32060.3,29454.2,.0055,.0051,.58,.59
ZM,p59p60,2023,32979.9,30393.9,.0057,.0052,.59,.6
ZM,p5p6,2023,5011.8,292.3,.0009,.0001,.05,.06
ZM,p60p61,2023,33943.6,31382.4,.0059,.0054,.6,.61
ZM,p61p62,2023,34925.3,32397.8,.006,.0056,.61,.62
ZM,p62p63,2023,35922.6,33435,.0062,.0058,.62,.63
ZM,p63p64,2023,36978.5,34537.2,.0064,.006,.63,.64
ZM,p64p65,2023,38059.3,35671.3,.0066,.0062,.64,.65
ZM,p65p66,2023,39196.3,36867.6,.0068,.0064,.65,.66
ZM,p66p67,2023,40370.3,38103.2,.007,.0066,.66,.67
ZM,p67p68,2023,41647.9,39448.2,.0072,.0068,.67,.68
ZM,p68p69,2023,42953,40826.2,.0074,.007,.68,.6899999999999999
ZM,p69p70,2023,44331,42283,.0077,.0073,.6899999999999999,.7
ZM,p6p7,2023,5455,877,.0009,.0002,.06,.07
ZM,p70p71,2023,45791.10000000001,43826.4,.0079,.0076,.7,.71
ZM,p71p72,2023,47418,45500.8,.0082,.0079,.71,.72
ZM,p72p73,2023,49119.8,47255.2,.0085,.0082,.72,.73
ZM,p73p74,2023,50919.60000000001,49116,.0088,.0085,.73,.74
ZM,p74p75,2023,52770.8,51037,.0091,.0088,.74,.75
ZM,p75p76,2023,54838.10000000001,53188,.0095,.0092,.75,.76
ZM,p76p77,2023,56973.10000000001,55426.2,.0098,.0096,.76,.77
ZM,p77p78,2023,59234.10000000001,57811.10000000001,.0102,.01,.77,.78
ZM,p78p79,2023,61720.8,60448.60000000001,.0107,.0104,.78,.79
ZM,p79p80,2023,64249.7,63155.9,.0111,.0109,.79,.8
ZM,p7p8,2023,5876.5,1461.6,.001,.0003,.07,.08
ZM,p80p81,2023,67033.90000000001,66155.3,.0116,.0114,.8,.8100000000000001
ZM,p81p82,2023,70097.8,69475.60000000001,.0121,.012,.8100000000000001,.82
ZM,p82p83,2023,73526.90000000001,73211.10000000001,.0127,.0126,.82,.83
ZM,p83p84,2023,77184.90000000001,77225.8,.0133,.0133,.83,.84
ZM,p84p85,2023,81283.60000000001,81742.70000000001,.014,.0141,.84,.85
ZM,p85p86,2023,85667.10000000001,86604.20000000001,.0148,.015,.85,.86
ZM,p86p87,2023,90733.8,92219.60000000001,.0157,.0159,.86,.87
ZM,p87p88,2023,96662.70000000001,98791.90000000001,.0167,.0171,.87,.88
ZM,p88p89,2023,103683.8,106570.8,.0179,.0184,.88,.89
ZM,p89p90,2023,111711.9,115471.2,.0193,.0199,.89,.9
ZM,p8p9,2023,6297.200000000001,2046.3,.0011,.0004,.08,.09
ZM,p90p91,2023,121609.7,126415.9,.021,.0218,.9,.91
ZM,p91p92,2023,133616.6,139701.3,.0231,.0241,.91,.92
ZM,p92p93,2023,148745.2,156386.2,.0257,.027,.92,.93
ZM,p93p94,2023,167937.6,177485.6,.029,.0306,.93,.9399999999999999
ZM,p94p95,2023,192528.1,204433.3,.0332,.0353,.9399999999999999,.95
ZM,p95p96,2023,225345.9,240265,.0389,.0415,.95,.96
ZM,p96p97,2023,271555.9,291031.1,.0469,.0503,.96,.97
ZM,p97p98,2023,343615.8,369886.6,.0593,.0639,.97,.98
ZM,p98p99,2023,468145.4,505739.6,.0808,.0873,.98,.99
ZM,p99.1p99.2,2023,581792.9,630261.1000000001,.01,.0109,.991,.992
ZM,p99.2p99.3,2023,614012.7000000001,665895.1000000001,.0106,.0115,.992,.993
ZM,p99.3p99.4,2023,653161.2000000001,709137.2000000001,.0113,.0122,.993,.9940000000000001
ZM,p99.4p99.5,2023,704638.5,763233.6000000001,.0122,.0132,.9940000000000001,.995
ZM,p99.5p99.6,2023,771733.4,833811.3,.0133,.0144,.995,.996
ZM,p99.6p99.7,2023,865958.2000000001,931771.1000000001,.015,.0161,.996,.997
ZM,p99.7p99.8,2023,1015730.2,1082214.6,.0175,.0187,.997,.998
ZM,p99.8p99.9,2023,1300164.9,1364748.6,.0225,.0236,.998,.9990000000000001
ZM,p99.9p100,2023,2785397.8,2868811.4,.0481,.0495,.9990000000000001,1
ZM,p99p99.1,2023,556735.8,600210.2000000001,.0096,.0104,.99,.991
ZM,p9p10,2023,6724.900000000001,2630.9,.0012,.0005,.09,.1
