country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
ZW,p0p1,2023,137.4,0,.0004,0,0,.01
ZW,p10p11,2023,456.5,221.3,.0013,.0006,.1,.11
ZW,p11p12,2023,478.1,261.6,.0013,.0007,.11,.12
ZW,p12p13,2023,499.1,301.8,.0014,.0009,.12,.13
ZW,p13p14,2023,520.6,342.1,.0015,.001,.13,.14
ZW,p14p15,2023,539.7,382.3,.0015,.0011,.14,.15
ZW,p15p16,2023,557.7,422.6,.0016,.0012,.15,.16
ZW,p16p17,2023,580.1,462.8,.0016,.0013,.16,.17
ZW,p17p18,2023,601.2,503.1,.0017,.0014,.17,.18
ZW,p18p19,2023,622.3000000000001,543.3000000000001,.0018,.0015,.18,.19
ZW,p19p20,2023,644.4000000000001,583.6,.0018,.0016,.19,.2
ZW,p1p2,2023,179.3,0,.0005,0,.01,.02
ZW,p20p21,2023,666.5,603.7,.0019,.0017,.2,.21
ZW,p21p22,2023,687.6,624.7,.0019,.0018,.21,.22
ZW,p22p23,2023,709.1,646.2,.002,.0018,.22,.23
ZW,p23p24,2023,729.2,666.1,.0021,.0019,.23,.24
ZW,p24p25,2023,750.4000000000001,687.2,.0021,.0019,.24,.25
ZW,p25p26,2023,772.5,709.2,.0022,.002,.25,.26
ZW,p26p27,2023,790.4000000000001,729,.0022,.0021,.26,.27
ZW,p27p28,2023,811,751.5,.0023,.0021,.27,.28
ZW,p28p29,2023,827.4000000000001,769.7,.0023,.0022,.28,.29
ZW,p29p30,2023,845.4000000000001,789.5,.0024,.0022,.29,.3
ZW,p2p3,2023,227.8,0,.0006,0,.02,.03
ZW,p30p31,2023,866.5,812.2,.0024,.0023,.3,.31
ZW,p31p32,2023,890,836.5,.0025,.0024,.31,.32
ZW,p32p33,2023,912.4000000000001,859.5,.0026,.0024,.32,.33
ZW,p33p34,2023,936,883.7,.0026,.0025,.33,.34
ZW,p34p35,2023,958.1,906.5,.0027,.0026,.34,.35
ZW,p35p36,2023,982.9000000000001,931.9000000000001,.0028,.0026,.35,.36
ZW,p36p37,2023,1009.8,957.8000000000001,.0028,.0027,.36,.37
ZW,p37p38,2023,1035.8,982.8000000000001,.0029,.0028,.37,.38
ZW,p38p39,2023,1062.9,1008.9,.003,.0028,.38,.39
ZW,p39p40,2023,1091,1035.8,.0031,.0029,.39,.4
ZW,p3p4,2023,263.4,0,.0007,0,.03,.04
ZW,p40p41,2023,1122.6,1066.3,.0032,.003,.4,.41
ZW,p41p42,2023,1151.7,1094.7,.0032,.0031,.41,.42
