country,year,agg_net_national_income
AD,2023,3163560331
AE,2023,1766002038443
AF,2023,1160618579674
AG,2023,4754740565
AI,2023,1039379949
AL,2023,2220977097017
AM,2023,7988134535389
AO,2023,63737906779329
AR,2023,541828128707999
AS,2023,1005729318
AT,2023,396092752974
AU,2023,2181906933500
AW,2023,5782385306
AZ,2023,104648301755
BA,2023,44005959273
BB,2023,20184320712
BD,2023,45299285773072
BE,2023,504729941625
BF,2023,11281506610624
BG,2023,153368450307
BH,2023,15037701357
BI,2023,10175536848145
BJ,2023,10814420189260
BM,2023,15851190499
BN,2023,16462231185
BO,2023,290237438778
BQ,2023,632697192
BR,2023,9376251287221
BS,2023,12497803369
BT,2023,215607691463
BW,2023,214437019951
BY,2023,172823029544
BZ,2023,5007682779
CA,2023,2584440146671
CD,2023,174253040346201
CF,2023,1530765400351
CG,2023,6858678610430
CH,2023,617111102766
CI,2023,44459654787089
CK,2023,570509316
CL,2023,243690260279127
CM,2023,28550726389857
CN,2023,101654350716074
CO,2023,1410567122750520
CR,2023,40865693007474
CU,2023,238002416313
CV,2023,230499576302
CW,2023,5200688058
CY,2023,26509744032
CZ,2023,5794659190550
DE,2023,3541576168982
DJ,2023,641883641544
DK,2023,2415833126554
DM,2023,1685243542
DO,2023,6382785090083
DZ,2023,26792759488880
EC,2023,102449802932
EE,2023,31261898796
EG,2023,13133757224253
ER,2023,29223143952
ES,2023,1245519074807
ET,2023,11927909279305
FI,2023,230855652789
FJ,2023,10575343739
FM,2023,444855488
FO,2023,23560522541
FR,2023,2421300556487
GA,2023,8610237340830
GB,2023,2465238878252
GD,2023,2770738018
GE,2023,66850849332
GG,2023,7201974850
GH,2023,924807689629
GI,2023,2894866084
GL,2023,17550594909
GM,2023,143513692808
GN,2023,149778616938797
GQ,2023,5934968129153
GR,2023,194638189653
GT,2023,735708788688
GU,2023,6907279102
GW,2023,1066428270924
GY,2023,2868487992558
HK,2023,3077883132626
HN,2023,774024294391
HR,2023,72989293641
HT,2023,3438190643788
HU,2023,63205563100923
ID,2023,1.69082075648e+16
IE,2023,288290585610
IL,2023,1672400630683
IM,2023,5648028991
IN,2023,259694290998487
IQ,2023,269979287812926
IR,2023,1.40603861217e+17
IS,2023,3891875490964
IT,2023,1728535562072
JE,2023,11260747443
JM,2023,2815820667465
JO,2023,33449838130
JP,2023,498321654607214
KE,2023,13690875583233
KG,2023,1205203302576
KH,2023,157586278145785
KI,2023,535677579
KM,2023,627324762285
KN,2023,2657269943
KP,2023,1678350251569
KR,2023,1892844070379559
KS,2023,9011330347
KW,2023,58439710326
KY,2023,10322354502
KZ,2023,98380858190330
LA,2023,254035739419363
LB,2023,2623621074171549
LC,2023,5208539276
LI,2023,7351692133
LK,2023,25205889815388
LR,2023,4621976939
LS,2023,48890330771
LT,2023,64208823626
LU,2023,111810630620
LV,2023,29996922478
LY,2023,216869226161
MA,2023,1376472512049
MC,2023,5769211482
MD,2023,272829532952
ME,2023,6411112814
MF,2023,433614013
MG,2023,68011160909172
MH,2023,284939807
MK,2023,702997664024
ML,2023,11402491530908
MM,2023,127165108448214
MN,2023,58074183817805
MO,2023,350850081904
MP,2023,1177942320
MR,2023,360548563608
MS,2023,203865586
MT,2023,16529717494
MU,2023,972359562504
MV,2023,78820635840
MW,2023,17144261856587
MX,2023,26376384653803
MY,2023,1540423992396
MZ,2023,1082364942629
NA,2023,203604762729
NC,2023,1062323711569
NE,2023,10236056586030
NG,2023,241451814829905
NI,2023,612874585284
NL,2023,925270093232
NO,2023,4846149503142
NP,2023,5372572620016
NR,2023,259272360
NZ,2023,356753266235
OA-MER,2023,691395698128
OA-PPP,2023,2290301691739
OB-MER,2023,456514379521
OB-PPP,2023,767538034351
OC-MER,2023,2874786341780
OC-PPP,2023,3564569047164
OD-MER,2023,1442418462309
OD-PPP,2023,2749671237834
OE-MER,2023,1543366153981
OE-PPP,2023,2465093347022
OH-MER,2023,69814336987
OH-PPP,2023,94883051164
OI-MER,2023,1026910392970
OI-PPP,2023,2694782647079
OJ-MER,2023,645320329028
OJ-PPP,2023,1944995721479
OK-MER,2023,18377481084
OK-PPP,2023,17228654858
OL-MER,2023,51436855903
OL-PPP,2023,77654396307
OM,2023,34762816648
PA,2023,75221454386
PE,2023,908354003369
PF,2023,698446176779
PG,2023,96339501388
PH,2023,22463081693679
PK,2023,102333880934954
PL,2023,2939255227623
PR,2023,94354085607
PS,2023,18470603690
PT,2023,220711230762
PW,2023,254334684
PY,2023,284635571413348
QA,2023,643227574844
QE-MER,2023,19998436521587
QE-PPP,2023,27625776055376
QF-MER,2023,1725153303626
QF-PPP,2023,1866355970910
QL-MER,2023,19575767129776
QL-PPP,2023,38800976076613
QM-MER,2023,2071587602088
QM-PPP,2023,4284429233346
QP-MER,2023,25415131302733
QP-PPP,2023,25773759901144
RO,2023,1404410601623
RS,2023,6834465959180
RU,2023,157226122296202
RW,2023,15201300722604
SA,2023,3638368321742
SB,2023,12888582919
SC,2023,26508207445
SD,2023,68175496140598
SE,2023,5759474767311
SG,2023,663169505216
SI,2023,52203388969
SK,2023,105483655384
SL,2023,151322690133
SM,2023,1334400370
SN,2023,15647635948559
SO,2023,262598689427651
SR,2023,130296562605
SS,2023,32817881861259
ST,2023,17078722205
SV,2023,30232438858
SX,2023,2582215979
SY,2023,506508943914254
SZ,2023,73076556088
TC,2023,1438155239
TD,2023,10923868950235
TG,2023,4990857250586
TH,2023,14225126867211
TJ,2023,148279139813
TL,2023,2106515152
TM,2023,207185011353
TN,2023,135617695059
TO,2023,1280394252
TR,2023,36085099687218
TT,2023,158723987096
TV,2023,125533331
TW,2023,21575746114894
TZ,2023,160205171488510
UA,2023,6355557815631
UG,2023,175259205124893
US,2023,23506921554109
UY,2023,2763516037060
UZ,2023,938465598673503
VC,2023,2662848326
VE,2023,1634914497825
VG,2023,1728796640
VI,2023,4202857883
VN,2023,8646495882866260
VU,2023,143344382017
WO-MER,2023,88957602163596
WO-PPP,2023,157181583029733
WS,2023,2626078169
XB-MER,2023,27140284606359
XB-PPP,2023,27640115872054
XF-MER,2023,1767076027673
XF-PPP,2023,5392608853596
XI,2023,8951923150
XL-MER,2023,5752375736918
XL-PPP,2023,11844109965997
XN-MER,2023,5101838130542
XN-PPP,2023,12206047031103
XR-MER,2023,2529626337455
XR-PPP,2023,7913361184821
XS-MER,2023,7092197673286
XS-PPP,2023,25758587990174
YE,2023,14999432647101
ZA,2023,6189268449431
ZM,2023,562100418302
ZW,2023,27482461370
ZZ,2023,5605456602906
