country,percentile,year,avg_per_adult,avg_per_capita,share,p_low,p_high,adult_pop,total_pop,bin_adult_pop,bin_total_pop
KG,p0p1,2023,0.0,0.0,0.0,0.0,0.01,4177915,7073516,41779.15,70735.16
KG,p10p11,2023,4.213658436619522,2.4887632667020547,0.0013,0.1,0.11,4177915,7073516,41779.14999999998,70735.15999999996
KG,p11p12,2023,4.979782239310311,2.941268092748803,0.0015,0.11,0.12,4177915,7073516,41779.14999999998,70735.15999999996
KG,p12p13,2023,5.7458948029111925,3.3937662805180215,0.0018,0.12,0.13,4177915,7073516,41779.15000000004,70735.16000000006
KG,p13p14,2023,6.512018605601982,3.8462711065647697,0.002,0.13,0.14,4177915,7073516,41779.15000000004,70735.16000000006
KG,p14p15,2023,7.27814240829277,4.298775932611517,0.0022,0.14,0.15,4177915,7073516,41779.14999999992,70735.15999999987
KG,p15p16,2023,8.044254971893652,4.751274120380737,0.0025,0.15,0.16,4177915,7073516,41779.15000000004,70735.16000000006
KG,p16p17,2023,8.81037877458444,5.203778946427483,0.0027,0.16,0.17,4177915,7073516,41779.15000000004,70735.16000000006
KG,p17p18,2023,9.57649133818532,5.656277134196703,0.003,0.17,0.18,4177915,7073516,41779.14999999992,70735.15999999987
KG,p18p19,2023,10.342615140876111,6.108781960243451,0.0032,0.18,0.19,4177915,7073516,41779.15000000004,70735.16000000006
KG,p19p20,2023,11.108738943566898,6.561286786290197,0.0034,0.19,0.2,4177915,7073516,41779.15000000004,70735.16000000006
KG,p1p2,2023,0.0,0.0,0.0,0.01,0.02,4177915,7073516,41779.15,70735.16
KG,p20p21,2023,11.491789605822385,6.787532561036043,0.0035,0.2,0.21,4177915,7073516,41779.14999999992,70735.15999999987
KG,p21p22,2023,11.738094261163297,6.933010413085665,0.0036,0.21,0.22,4177915,7073516,41779.15000000004,70735.16000000006
KG,p22p23,2023,11.989400311513414,7.081442298635723,0.0037,0.22,0.23,4177915,7073516,41779.15000000004,70735.16000000006
KG,p23p24,2023,12.224342246957013,7.220208852103453,0.0038,0.23,0.24,4177915,7073516,41779.14999999992,70735.15999999987
KG,p24p25,2023,12.452315946657448,7.354859673503157,0.0038,0.24,0.25,4177915,7073516,41779.15000000004,70735.16000000006
